Period_Index,Rep_Period,Rep_Period_Index
1,52,11
2,7,1
3,52,11
4,52,11
5,52,11
6,7,1
7,7,1
8,7,1
9,7,1
10,13,2
11,7,1
12,13,2
13,13,2
14,13,2
15,13,2
16,13,2
17,13,2
18,13,2
19,20,3
20,20,3
21,20,3
22,27,4
23,20,3
24,27,4
25,27,4
26,27,4
27,27,4
28,27,4
29,35,7
30,35,7
31,35,7
32,32,5
33,33,6
34,35,7
35,35,7
36,35,7
37,38,8
38,38,8
39,38,8
40,41,9
41,41,9
42,41,9
43,38,8
44,41,9
45,41,9
46,52,11
47,47,10
48,7,1
49,52,11
50,52,11
51,52,11
52,52,11
