Time_Index,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW
11,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.896818,0.890594,0.882983,0.864395,0.71933,0.768371,0.791334,0.811603,0.765013,0.553198,0.777019,0.381287,0.700028,0.76285,0.833332,0.756774,0.56021,0.541731,0.283749,0.221284,0.272004,0.067339,0.012737,0.106422,0.020578,0.153753,0.257518,0.009464,0.053751,0.515793,0.290044,0.024665,0.019809,0.010131,0.004994,0.318276,0.546913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.877953,0.883142,0.861082,0.840892,0.628043,0.760831,0.763515,0.779977,0.754204,0.490462,0.746731,0.360606,0.570317,0.677566,0.794769,0.742018,0.534956,0.565623,0.209756,0.174133,0.279781,0.052419,0.014558,0.077869,0.01949,0.155003,0.204006,0.01924,0.042073,0.539522,0.327951,0.017417,0.005207,0.012158,0.02863,0.252895,0.518219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.871114,0.882105,0.853342,0.839765,0.507799,0.744629,0.772663,0.778356,0.764876,0.442341,0.755814,0.304228,0.40388,0.524136,0.768047,0.714578,0.504405,0.517486,0.153782,0.151801,0.264682,0.038975,0.007143,0.073002,0.037025,0.152468,0.19358,0.020128,0.060217,0.503431,0.318282,0.027101,0.00188,0.005945,0.059163,0.203867,0.38551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.863924,0.89191,0.874214,0.858682,0.571585,0.759066,0.800795,0.823245,0.796035,0.478653,0.790876,0.330503,0.193152,0.508768,0.773487,0.734519,0.518369,0.415885,0.115313,0.137668,0.230811,0.039543,0.000253,0.050303,0.046941,0.158479,0.197214,0.015692,0.068477,0.498749,0.240452,0.040219,0.000382,0.006604,0.080054,0.158444,0.266815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.862608,0.894967,0.881879,0.875065,0.674196,0.683,0.82995,0.840085,0.831807,0.53152,0.815994,0.475751,0.128289,0.495842,0.810353,0.776954,0.584294,0.405266,0.082134,0.128578,0.26276,0.039551,0.0,0.041161,0.055047,0.116956,0.234021,0.01204,0.067809,0.399915,0.240418,0.029784,0.001033,0.005851,0.072932,0.137753,0.220778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.848961,0.869596,0.855852,0.838854,0.519899,0.664825,0.808774,0.796804,0.8212,0.343869,0.776778,0.396429,0.133237,0.622304,0.838146,0.806479,0.615407,0.486683,0.095317,0.1239,0.297109,0.048469,2.6e-5,0.033021,0.080875,0.094196,0.266118,0.007177,0.074588,0.315375,0.257693,0.025291,0.001933,0.0007,0.087888,0.136372,0.189553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.537519,0.428441,0.401075,0.36819,0.182405,0.261734,0.341888,0.090981,0.349658,0.230592,0.082198,0.225658,0.121378,0.31878,0.806845,0.530144,0.090942,0.645693,0.2547,0.124838,0.34025,0.100682,0.004906,0.064779,0.091597,0.045596,0.299512,0.010072,0.042752,0.257078,0.325831,0.013014,0.001658,0.002351,0.097994,0.145658,0.160653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08864,0.03825,0.002646,0.0,0.0,0.0,0.0,0.0,0.0,0.002253,0.0,0.003959,0.0,0.072573,0.173008,0.077996,0.0,0.608936,0.501282,0.176509,0.366879,0.215743,0.01224,0.104145,0.186798,0.057354,0.146569,0.004293,0.022519,0.219177,0.290709,0.01379,0.003793,0.001336,0.075094,0.124039,0.159981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711901,0.592828,0.257229,0.432538,0.321016,0.129884,0.075373,0.238075,0.059903,0.305911,0.002733,0.012133,0.215758,0.217571,0.018448,0.005895,0.013309,0.064058,0.098784,0.123702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665086,0.380495,0.277833,0.426259,0.270573,0.246635,0.099312,0.239877,0.04798,0.362324,0.00894,0.01842,0.25428,0.216303,0.045301,0.039579,0.128012,0.018589,0.058355,0.026944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
