BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
t9,1243.2121629238293,0.0,-0.0,0.0,0.0,0.0,0.0,-46.3361649238294,-0.0,-1196.875998,1048.340454076171,0.0,-0.0,0.0,0.0,0.0,0.0,46.3361649238294,-0.0,-1094.676619,3963.4040750849426,0.0,-0.0,0.0,0.0,0.0,0.0,-1097.528104517185,-16.462921567757775,-2849.413049,2003.268652284819,0.0,-0.0,0.0,0.0,0.0,0.0,-1460.8776837170606,-16.462921567757775,-525.928047,2022.4567057657548,0.0,-0.0,0.0,0.0,0.0,0.0,-853.8680777657551,-0.0,-1168.588628,1440.6862719999997,0.0,-0.0,0.0,0.0,0.0,0.0,6112.273866,-0.0,-7552.960138,3743.4038240000004,0.0,-0.0,0.0,0.0,0.0,0.0,-2700.0,-0.0,-1043.403824,5517.400535816323,0.0,-0.0,0.0,0.0,0.0,0.0,1187.5298235367263,-17.812947353050898,-6687.117412,2446.777494602195,0.0,-0.0,0.0,0.0,0.0,0.0,-716.3507917263008,-10.745261875894512,-1719.681441,2115.020661287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1636.773944
t10,1773.3639789420545,0.0,-0.0,0.0,0.0,0.0,0.0,-827.7284299420545,-0.0,-945.635549,254.39792905794562,0.0,-0.0,0.0,0.0,0.0,0.0,827.7284299420545,-0.0,-1082.126359,2781.734177566892,0.0,-0.0,0.0,0.0,0.0,0.0,-776.8550311003864,-11.652825466505796,-1993.226321,2102.6944607781656,0.0,-0.0,0.0,0.0,0.0,0.0,-1703.7630283116591,-11.652825466505796,-387.278607,2006.055860587955,0.0,-0.0,0.0,0.0,0.0,0.0,-931.6558065879548,-0.0,-1074.400054,815.466453,0.0,-0.0,0.0,0.0,0.0,0.0,6112.273866,-0.0,-6927.740319,3599.310478,0.0,-0.0,0.0,0.0,0.0,0.0,-2700.0,-0.0,-899.310478,4723.351871831344,0.0,-0.0,0.0,0.0,0.0,0.0,1683.8266813894995,-25.25740022084249,-6381.921153,2505.71225032276,0.0,-0.0,0.0,0.0,0.0,0.0,-1212.647649579074,-18.189714743686107,-1274.874886,2053.753356287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1575.506639
t11,1192.7285582426603,0.0,-0.0,0.0,0.0,0.0,0.0,-400.6937203826454,-7.240214860015009,-784.794623,190.64866794968722,0.0,-0.0,0.0,0.0,0.0,0.0,883.3747110503127,-0.0,-1074.023379,2872.2643317810926,0.0,-279.28257997525276,0.0,0.0,0.0,0.0,-1132.5711554737343,-16.988567332106015,-1443.422029,2177.3950963839975,0.0,-0.0,0.0,0.0,0.0,0.0,-1924.065682911906,-9.748352472091005,-243.581061,1902.3149573061648,0.0,-0.0,0.0,0.0,0.0,0.0,-944.7528313061646,-0.0,-957.562126,30.278746999998774,0.0,-0.0,0.0,0.0,0.0,0.0,6112.273866,-0.0,-6142.552613,3030.059651313238,0.0,-0.0,0.0,0.0,0.0,0.0,-2290.980762952893,-4.538766360344547,-734.540122,4730.6982187815265,0.0,-0.0,0.0,0.0,0.0,0.0,1372.1710263341747,-29.66009811570171,-6073.209147,1979.3792458249193,0.0,-0.0,0.0,0.0,0.0,0.0,-1203.5764185467187,-18.05364627820078,-757.749181,1971.321207287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1493.07449
t12,1046.9946228182569,0.0,-52.0,0.0,0.0,0.0,0.0,-257.8382595326963,-9.385728285560777,-727.770635,187.5517104299186,0.0,-0.0,0.0,0.0,0.0,0.0,883.5534785700814,-0.0,-1071.105189,3039.3386513699875,0.0,-770.0,0.0,0.0,0.0,0.0,-1006.8559974088552,-15.102839961132826,-1247.379814,2391.803466022075,0.0,-0.0,0.0,0.0,0.0,0.0,-2192.815069346503,-5.717111675572048,-193.271285,1880.4183006350727,0.0,-0.0,0.0,0.0,0.0,0.0,-980.7864306350726,-0.0,-899.63187,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,5746.121941,-0.0,-5746.121941,2486.001309652001,0.0,-0.0,0.0,0.0,0.0,0.0,-1817.2039489464946,-5.612635705506893,-663.184725,4663.568582565559,0.0,-0.0,0.0,0.0,0.0,0.0,1254.2171967974161,-30.038529362975027,-5887.74725,1774.0670468677615,0.0,-0.0,0.0,0.0,0.0,0.0,-1157.21387868745,-17.35820818031175,-599.49496,1923.210211287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1444.963494
t13,521.5872561931972,0.0,-52.0,0.0,0.0,0.0,0.0,296.80721745416025,-16.346502647357433,-750.047971,279.0144692969981,0.0,-0.0,0.0,0.0,0.0,0.0,792.9596257030021,-0.0,-1071.974095,3683.584074676706,8.968620797227066,-761.0313792027729,0.0,0.0,0.0,0.0,-1590.3705628287294,-23.85555844243094,-1317.295195,2275.336928841479,0.0,-0.0,0.0,0.0,0.0,0.0,-2073.3521280464056,-7.509055795073507,-194.475745,2004.8389314546737,0.0,-0.0,0.0,0.0,0.0,0.0,-1124.878230454674,-0.0,-879.960701,0.0,0.0,-31.521802174039117,0.0,0.0,0.0,0.0,5636.809392174038,-0.0,-5605.28759,2585.961990001392,0.0,-0.0,0.0,0.0,0.0,0.0,-1937.975314001392,-0.0,-647.986676,4389.484232263409,0.0,-84.92319596782563,0.0,0.0,0.0,0.0,1429.2614910704744,-21.438922366057117,-5712.383605,1572.1369001489497,0.0,-0.0,0.0,0.0,0.0,0.0,-958.0824592600488,-14.371236888900734,-599.683204,1901.312982287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1423.066265
t14,930.4867633982496,19.691364776525166,-32.30863522347483,0.0,0.0,0.0,0.0,-63.086431889653014,-13.4203000616469,-841.362761,118.55564533388674,0.0,-0.0,0.0,0.0,0.0,0.0,957.7731026661131,-0.0,-1076.328748,3928.1764721426057,91.68076039861354,-678.3192396013864,0.0,0.0,0.0,0.0,-1692.7549999407222,-25.39132499911083,-1623.391668,2013.9900884911744,0.0,-0.0,0.0,0.0,0.0,0.0,-1775.887518553711,-11.97102493746393,-226.131545,2156.6406831928675,0.0,-0.0,0.0,0.0,0.0,0.0,-1273.802087192867,-0.0,-882.838596,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,5665.065486,-0.0,-5615.065486,2359.024724003141,0.0,-0.011152106999944915,0.0,0.0,0.0,0.0,-1691.1908493703584,-1.8917505257820302,-665.930972,4647.475737721173,0.0,-383.9149424026766,0.0,0.0,0.0,0.0,1433.712492114789,-25.289188433285897,-5671.984099,1626.777043453513,0.0,-0.0,0.0,0.0,0.0,0.0,-1088.6501620231654,-16.329752430347483,-521.797129,1882.796897287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1404.55018
t15,771.3752271662609,0.0,-0.0002260869565083288,0.0,0.0,0.0,0.0,302.1428399709626,-13.500494050266807,-1060.017347,488.9156552865086,0.0,-0.0,0.0,0.0,0.0,0.0,597.8900967134914,-0.0,-1086.805752,3855.2234345455477,0.0,-122.51386370099438,0.0,0.0,0.0,0.0,-1354.8205929502992,-20.322308894254487,-2357.566669,2484.928555296116,0.0,-0.0,0.0,0.0,0.0,0.0,-2119.1681914521278,-6.821814843987677,-358.938549,2099.5516353273433,0.0,-0.0,0.0,0.0,0.0,0.0,-1141.577802327343,-0.0,-957.973833,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6106.258024,-0.0,-6106.258024,3182.5664229546837,0.0,-0.0,0.0,0.0,0.0,0.0,-2390.724373954684,-0.0,-791.842049,4368.876092841764,0.0,-0.0,0.0,0.0,0.0,0.0,1667.7320164043008,-25.01598024606451,-6011.592129,2093.2274313627836,0.0,-0.0,0.0,0.0,0.0,0.0,-1196.5529845938752,-17.948294768908127,-878.726152,1935.200586287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1456.953869
t16,1115.3595717433811,16.13606724393911,-0.0,0.0,0.0,0.0,0.0,149.58735601267975,-0.0,-1281.082995,1247.0554030126798,0.0,-0.0,0.0,0.0,0.0,0.0,-149.58735601267975,-0.0,-1097.468047,3382.052502440208,691.9989559992,-0.0,0.0,0.0,0.0,0.0,-958.1247452605008,-14.371871178907512,-3101.554842,2127.0885090982238,0.0,-0.0,0.0,0.0,0.0,0.0,-1595.3338689193165,-14.371871178907512,-517.382769,1612.490220477195,0.0,-0.0,0.0,0.0,0.0,0.0,-550.509256477195,-0.0,-1061.980964,990.868452342988,0.0,-0.0,0.0,0.0,0.0,0.0,5803.967870657012,-0.0,-6794.836323,3061.848278111804,302.3320897993187,-0.0,0.0,0.0,0.0,0.0,-2406.178869960531,-4.407316950592043,-953.594181,4794.489241821405,0.0,-0.0,0.0,0.0,0.0,0.0,1390.00555135003,-29.664717171434535,-6154.830076,2141.8633583227597,0.0,-0.0,0.0,0.0,0.0,0.0,-1212.647649579074,-18.189714743686107,-911.025994,1964.041886287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1485.795169
t17,1593.0300301527968,27.543478308370112,-0.0,0.0,0.0,0.0,0.0,-62.86610346116678,-0.0,-1557.707405,1048.1349775388333,0.0,-0.0,0.0,0.0,0.0,0.0,62.86610346116678,-0.0,-1111.001081,3267.2259259999996,770.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-4037.2259259999996,1854.6124827171702,0.0,-0.0,0.0,0.0,0.0,0.0,-1137.09510371717,-0.0,-717.517379,2306.9667119392134,0.0,-0.0,0.0,0.0,0.0,0.0,-1095.9210049392132,-0.0,-1211.045707,2838.8684523429883,18.999486000628018,-0.0,0.0,0.0,0.0,0.0,4933.016108656384,-0.0,-7790.884047,3048.943339231587,560.3199999999999,-0.0,0.0,0.0,0.0,0.0,-2433.150461148819,-4.002743082767713,-1172.110135,5324.137668282599,96.71477648580391,-0.0,0.0,0.0,0.0,0.0,1195.6465526874435,-25.94018445584708,-6590.558813,2281.844277993371,43.321463630750486,-0.0,0.0,0.0,0.0,0.0,-991.317059728199,-14.869755895922983,-1318.978926,2049.238972287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1570.992255
t18,2616.4074397415334,52.0,-0.0,0.0,0.0,0.0,0.0,-892.4891907415341,-0.0,-1775.918249,229.78872725846585,0.0,-0.0,0.0,0.0,0.0,0.0,892.4891907415341,-0.0,-1122.277918,5328.025688351393,385.15800842218624,-0.0,0.0,0.0,0.0,0.0,-909.423317018305,-13.641349755274573,-4790.11903,1591.8659138770447,0.0,-0.0,0.0,0.0,0.0,0.0,-680.5139411217709,-13.641349755274573,-897.710623,1951.1596098599239,0.0,-0.0,0.0,0.0,0.0,0.0,-549.6081008599232,-0.0,-1401.551509,4200.0,50.0,-0.0,0.0,0.0,0.0,0.0,4839.545359,-0.0,-9089.545359,3702.3025037330417,411.74591726695854,-0.0,0.0,0.0,0.0,0.0,-2700.0,-0.0,-1414.048421,5609.279862611426,580.4,-0.0,0.0,0.0,0.0,0.0,1144.9403811051511,-17.174105716577266,-7317.446138,2110.647016534146,512.43,-0.0,0.0,0.0,0.0,0.0,-673.7613492947254,-10.10642023942088,-1939.209247,2105.330847287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1627.08413
