Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
CNSW_WN3_WIND,5,None,723.52,0.0,0.0,6248.281779648485,6971.801779648485,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_WN9_WIND,6,None,0.0,0.0,0.0,1600.0,1600.0,176545.64807930667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_WACT_WIND,7,None,1588.21,0.0,0.0,1411.79,3000.0,267203.8503659428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_WV3_WIND,8,None,2360.0,0.0,0.0,0.0,2360.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_WV4_WIND,8,None,2000.0,0.0,0.0,1885.7822221912556,3885.7822221912556,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_WV5_WIND,8,None,0.0,0.0,0.0,2000.0,2000.0,74211.6870919306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_WV7_WIND,8,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_WS1_WIND,9,None,392.2932876,0.0,0.0,0.0,392.2932876,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_WS3_WIND,9,None,1801.322991,0.0,0.0,0.0,1801.322991,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_WS4_WIND,9,None,566.3837214,0.0,0.0,0.0,566.3837214,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_WT1_WIND,10,None,168.0,0.0,0.0,0.0,168.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_WT2_WIND,10,None,393.6,0.0,0.0,0.0,393.6,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_WT3_WIND,10,None,0.0,0.0,0.0,928.667408159783,928.667408159783,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_BATTERY,1,None,52.0,0.0,0.0,0.0,52.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0
GG_BATTERY,2,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_BATTERY,3,None,200.0,0.0,0.0,0.0,200.0,0.0,350.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0
NNSW_BATTERY,4,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_BATTERY,5,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_BATTERY,6,None,50.0,0.0,0.0,0.0,50.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
SNSW_BATTERY,7,None,310.32,0.0,0.0,0.0,310.32,0.0,570.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0
VIC_BATTERY,8,None,580.4,0.0,0.0,0.0,580.4,0.0,736.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0
SA_BATTERY,9,None,512.43,0.0,0.0,0.0,512.43,0.0,604.08,0.0,0.0,604.08,0.0,0.0,0.0,0.0
TAS_BATTERY,10,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_PH,1,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GG_PH,2,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_PH,3,None,570.0,0.0,0.0,0.0,570.0,-0.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
NNSW_PH,4,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_PH,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_PH,6,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_PH,7,None,250.0,0.0,0.0,121.60636955186254,371.60636955186254,-0.0,9680.0,0.0,0.0,9680.0,0.0,0.0,0.0,0.0
VIC_PH,8,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_PH,9,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_PH,10,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_PH_NEW,1,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_PH_SNOWY,7,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_PH_NEW,10,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,n/a,62224.57531539,4932.97,0.0,38034.83389583798,95326.43921122797,n/a,18119.08,0.0,0.0,18119.08,0.0,0.0,0.0,0.0
