Line,1,2,3,4,5,6,7,8,9,10
t1,992.0974684822519,2100.0,177.37392281249728,210.9097106654171,-1312.8806437846156,5219.193529,962.5042711739134,654.1071817272128,-106.08953923581203,0.0
t2,979.137676836214,2100.0,275.10926004183534,294.83004962676904,-735.7160186473454,4931.130131000001,592.8161111337851,654.1071817272128,-49.068269442435145,0.0
t3,1093.4417711373917,2100.0,153.3265759714308,225.532289930606,-634.7109452921118,4520.202933999999,684.5387528630794,654.1071817272128,-43.49194191727701,0.0
t4,1093.4417711373917,2100.0,-302.61616282316226,-315.1608788969381,-1125.3663935636703,4281.276124157712,177.21946353873457,654.1071817272128,-16.709559636758453,0.0
t5,1000.641039410568,2100.0,-924.822944936655,-1102.8067077534636,-2189.6465104515614,4203.970861887348,-530.7055675568006,654.1071817272128,-47.3517266278403,0.0
t6,993.8871487959851,2100.0,-604.0233336921706,-817.1834750257203,-2043.5835898505798,4423.135401636974,-277.1246798701384,654.1071817272128,-38.13053059598344,0.0
t7,1093.4417711373917,2100.0,-268.08726554123194,-529.4423640692034,-2700.0,4708.6292206952685,-53.36505491249844,654.1071817272128,4.346297955369143,0.0
t8,997.7504857102812,2100.0,679.6802640806684,1093.9893860285702,-1434.682190148981,4504.9179300000005,0.0,654.1071817272128,0.0,0.0
t9,1053.0463835904138,2100.0,1188.6263202788496,2015.0119439697623,-623.8315885263967,4276.1923799999995,294.1452626438048,654.1071817272128,148.15315087630643,0.0
t10,1045.6685974006957,1333.5920031917894,1130.2925313137648,2015.0119439697623,1227.2677460121724,4514.096185476569,1203.0434517365786,654.1071817272128,157.39672902141794,0.0
t11,1047.2882278064924,0.0,0.0,0.0,1543.1690564312337,3005.2538418873482,1036.1742135409324,431.2632453909437,24.375111303517333,0.0
t12,1048.7114366798048,-1210.1806493125764,-622.8170022236405,-296.6110438904642,555.1439668782197,3315.9458300937035,0.0,-24.487268460611098,0.0,0.0
t13,1048.96172565822,-799.3769078746084,0.0,832.3669143091541,714.6578053905586,3435.368948,-194.86487630589238,-187.88960941946567,0.0,0.0
t14,1093.4417711373917,-941.6181743204928,-1086.127758009726,-218.78057628160323,-693.6583780646886,3497.196222093703,0.0,-171.57900929277486,-5.36347161958317,0.0
t15,1093.4417711373917,-249.1017713143691,0.0,885.568908115572,633.2703425947545,3188.1838999999995,0.0,-93.05167188862782,287.4390095978273,0.0
