Line,New_Trans_Capacity,Cost_Trans_Capacity
1,628.9155046031628,2.5604290367018178e8
2,1045.734994982997,7.763745446166892e8
3,892.2647787377035,1.5981156673963559e9
4,3207.178899096917,1.5910987232772577e9
5,0.0,0.0
6,3155.1277601329293,4.869747160892784e8
7,1291.780524685863,1.9523504232170322e9
8,602.0991085074137,2.7047064699197036e8
9,2180.204093366391,6.099896222733595e9
10,0.0,0.0
