Zone,1,2,3,4,5,6,7,8,9,10,Total
CO2_Price_1,1451.714409367407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,1504.4464679826685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,1536.6061600147664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,1544.7428527514958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,1687.148542473039,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,1542.5969300496552,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,1542.593441352516,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1709.459039787289,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753.690714847228,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370.8862943122783,0.0
AnnualSum,1.1780479022266204e6,740843.4634041828,1.7517311859483705e6,319441.0395183257,562887.6429773228,2.862810062935613e6,509247.65607841144,2.948945452976498e6,909819.560361801,748836.9683502414,1.2532610934777386e7
t1,318.6905876148767,440.3696061816326,741.7093264085064,168.72760604413068,0.0,976.7933705277536,216.72198861429706,1183.9771786069682,580.3831468572434,0.0,4627.372810855409
t2,318.6905876148767,440.3696061816326,741.7093264085064,168.72760604413068,0.0,976.7933705277536,216.72198861429706,1443.3677214322913,580.3831468572434,0.0,4886.763353680732
t3,318.6905876148767,440.3696061816326,741.7093264085064,168.72760604413068,43.48672963105821,976.7933705277536,216.72198861429706,1167.151358098576,580.3831468572434,0.0,4654.033719978075
t4,318.6905876148767,440.3696061816326,741.7093264085064,168.72760604413068,484.39448480577096,976.7933705277536,0.0,1167.6746294471561,580.3831468572434,0.0,4878.742757887071
