BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
t9,11937.352551049798,0.0,-3803.621955729786,0.0,0.0,0.0,0.0,-6334.822618972163,-63.695410347850576,-1735.212566,74.19800188454298,0.0,-0.0,0.0,0.0,0.0,0.0,2088.461929115457,-0.0,-2162.659931,2209.4462653891205,0.0,-2000.0,0.0,0.0,0.0,0.0,1355.2152820754482,-107.06259146456942,-1457.598956,8647.384162133747,0.0,-2250.0,0.0,0.0,0.0,0.0,-5453.835396017029,-43.367181116718854,-900.181585,4093.634206432,0.0,-1941.5483763504094,0.0,0.0,0.0,0.0,-520.1465410815906,-0.0,-1631.939289,1071.0332,0.0,-672.5697007057494,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-9769.928347,3607.379432578,4.033204972166182,-0.0,0.0,0.0,0.0,0.0,-2116.7176257069495,-24.15570184321619,-1470.53931,5616.3004,0.0,-144.4096067051217,0.0,0.0,0.0,0.0,4863.117154015354,-72.94675731023028,-10262.06119,2498.3209000000006,0.0,-0.0,0.0,0.0,0.0,0.0,-121.13806502463052,-1.8170709753694578,-2375.365764,3876.9378622206877,933.4584033806008,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1631.823315
t10,13155.261117487898,0.0,-3820.0624789038857,0.0,0.0,0.0,0.0,-7647.3282034687145,-83.38299411529886,-1604.487441,83.2151571059905,0.0,-20.47037922144788,0.0,0.0,0.0,0.0,2088.461929115457,-0.0,-2151.206707,2547.9013203331983,0.0,-2552.9439270258836,0.0,0.0,0.0,0.0,1046.485554604219,-151.06870491153444,-890.374243,7021.141415845483,0.0,-2250.0,0.0,0.0,0.0,0.0,-3832.600084049248,-67.68571079623557,-870.855621,3603.688706432,0.0,-1941.5483763504094,0.0,0.0,0.0,0.0,-10.096432081590834,-0.0,-1652.043898,1066.498,0.0,-567.6662587057499,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-9870.296589,3033.375867042925,0.0,-566.4224272170555,0.0,0.0,0.0,0.0,-1016.38761182587,-0.0,-1450.565828,6179.097882205275,0.0,-950.8713664398094,0.0,0.0,0.0,0.0,4716.616486485933,-83.2532502513963,-9861.589752,5221.395695007709,0.0,-1456.8549899311822,0.0,0.0,0.0,0.0,-2418.617717316777,-36.279265759751645,-1309.643722,4025.4629216608,0.0,-0.0,0.0,0.0,0.0,0.0,-2297.9987691691554,-46.97398449164465,-1680.490168
t11,14190.359112171578,0.0,-3803.621955729786,0.0,0.0,0.0,0.0,-8693.70445850101,-99.07863794078327,-1593.95406,54.61801488454292,0.0,-0.0,0.0,0.0,0.0,0.0,2088.461929115457,-0.0,-2143.079944,1217.7290597158933,0.0,-2493.5878476153885,0.0,0.0,0.0,0.0,2092.8618096365135,-166.76434873701885,-650.238673,7897.078695493936,0.0,-5400.871043047527,0.0,0.0,0.0,0.0,-1570.2243256501731,-67.68571079623557,-858.297616,4168.956769296,0.0,-1941.5483763504094,0.0,0.0,0.0,0.0,-597.9408889455904,-0.0,-1629.467504,944.4366,0.0,-563.2832637057461,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-9752.618184,4667.475432578,0.0,-566.4224272170555,0.0,0.0,0.0,0.0,-2690.918913360945,-0.0,-1410.134092,5407.7122884287055,0.0,-950.8713664398094,0.0,0.0,0.0,0.0,5301.259390874215,-79.51889086311323,-9678.581422,4488.726056076529,0.0,-900.0,0.0,0.0,0.0,0.0,-2418.617717316777,-36.279265759751645,-1133.829073,4542.9713216608,0.0,-0.0,0.0,0.0,0.0,0.0,-2882.6416735574385,-43.239625103361575,-1617.090023
t12,13971.8982,0.0,-3820.0624789038197,0.0,0.0,0.0,0.0,-8395.541468012723,-94.606193083459,-1661.68806,75.51072410590831,0.0,-20.470379221366,0.0,0.0,0.0,0.0,2088.461929115457,-0.0,-2143.502274,1393.357215913845,0.0,-2552.944914199367,0.0,0.0,0.0,0.0,2116.8839157166894,-157.4591274311677,-799.83709,7705.027000000001,0.0,-5948.699257231553,0.0,0.0,0.0,0.0,-823.0142284207398,-62.85293434770867,-870.46058,4380.9331999999995,0.0,-1941.5483763504094,0.0,0.0,0.0,0.0,-840.6969036495901,-0.0,-1598.68792,890.9528,0.0,-642.3668967057458,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-9620.050751,4111.524358642479,0.0,-876.7424272170554,0.0,0.0,0.0,0.0,-1827.898688364061,-25.344891061361672,-1381.538352,7543.2428,0.0,-1451.8755973458785,0.0,0.0,0.0,0.0,3722.5695832168544,-106.52832587097616,-9707.40846,4892.313446912885,0.0,-1429.1082018363563,0.0,0.0,0.0,0.0,-2418.617717316777,-36.279265759751645,-1008.3082620000001,4603.698262040719,0.0,-0.0,0.0,0.0,0.0,0.0,-2993.611269990856,-44.90416904986284,-1565.182823
t13,12561.34803688106,0.0,-3831.784867341571,0.0,0.0,0.0,0.0,-6972.666952193323,-73.26307534616798,-1683.633142,177.83887748976406,0.0,-122.73452660522139,0.0,0.0,0.0,0.0,2088.461929115457,-0.0,-2143.56628,4092.38855652248,0.0,-3577.506511357192,0.0,0.0,0.0,0.0,463.78053450940814,-139.56944267469484,-839.093137,9510.967,0.0,-5050.467158627499,0.0,0.0,0.0,0.0,-3483.0171020439752,-66.30636732852686,-911.176372,4330.321649999999,0.0,-1941.5483763504094,0.0,0.0,0.0,0.0,-770.7211576495965,-0.0,-1618.052116,973.5595999999999,0.0,-554.7516587057462,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-9790.272789,3552.0544000000004,0.0,-614.0875792170555,0.0,0.0,0.0,0.0,-1505.5513500242373,-12.123738758707796,-1420.291732,6921.418900000001,0.0,-950.8713664398094,0.0,0.0,0.0,0.0,3939.848216690163,-59.09772325035244,-9851.298027,5197.221,0.0,-3656.3011770000007,0.0,0.0,0.0,0.0,0.0,-0.0,-1540.919823,4839.301390601289,0.0,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1660.72844
t14,10910.141482704841,0.0,-3855.621955729786,0.0,0.0,0.0,0.0,-5320.186502376147,-48.47586859891034,-1685.857156,178.2207918607753,0.0,-120.15333897623243,0.0,0.0,0.0,0.0,2088.461929115457,-0.0,-2146.529382,4429.693866010616,0.0,-4433.410657793783,0.0,0.0,0.0,0.0,1002.1747182078702,-81.91911642470262,-916.53881,10027.051600000003,0.0,-6305.156554848014,0.0,0.0,0.0,0.0,-2758.010787326195,-33.443247825792284,-930.44101,4976.185219296,0.0,-1941.5483763504094,0.0,0.0,0.0,0.0,-1422.9283789455867,-0.0,-1611.708464,1063.5729999999999,0.0,-670.7971107057477,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-9764.240737,4600.981832578001,0.0,-712.6403763848494,0.0,0.0,0.0,0.0,-2442.716118576075,-7.773895617076062,-1437.851442,6348.4463,0.0,-1131.2121561527836,0.0,0.0,0.0,0.0,4977.735072021253,-91.02714586847236,-10103.94207,5426.1238,0.0,-1663.074296923472,0.0,0.0,0.0,0.0,-2418.6177173167766,-36.279265759751645,-1308.15252,4703.037234001192,0.0,-0.0,0.0,0.0,0.0,0.0,-3077.3770625095476,-46.97398449164464,-1578.686187
t15,9322.846162362768,0.0,-3803.621955729786,0.0,0.0,0.0,0.0,-3828.219308890932,-26.41598274205194,-1664.588915,169.2081700290977,0.0,-84.5919997832334,0.0,0.0,0.0,0.0,2067.153792754136,-0.0,-2151.769963,4169.569421709298,0.0,-2721.6040767288946,0.0,0.0,0.0,0.0,-383.2322753658128,-58.58044961459108,-1006.15262,10495.892,0.0,-6591.285780217796,0.0,0.0,0.0,0.0,-2898.1991349096647,-32.16446687253914,-974.242618,5276.19365,0.0,-1941.5483763504094,0.0,0.0,0.0,0.0,-1720.768975649591,-0.0,-1613.876298,1105.5462,0.0,-679.6524067057461,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-9797.358641,4835.921632578,0.0,-736.831715934117,0.0,0.0,0.0,0.0,-2608.1989456438823,-0.0,-1490.890971,6045.9583999999995,0.0,-1531.2713664398095,0.0,0.0,0.0,0.0,5474.252507045492,-82.11378760568238,-9906.825753,5912.358500000001,0.0,-2323.0063189501143,0.0,0.0,0.0,0.0,-2342.6535409358485,-35.139803114037726,-1211.558837,4788.628729601289,0.0,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1610.055779
t16,9122.356061868835,0.0,-1754.5292320517285,0.0,0.0,0.0,0.0,-5286.302270458192,-50.53881435891563,-2030.9857449999997,257.1848019753133,0.0,-0.0007368391300564243,0.0,0.0,0.0,0.0,1917.0479798638169,-0.0,-2174.232045,3998.856120945138,0.0,-2000.012663947924,0.0,0.0,0.0,0.0,435.27916327154384,-94.54844126875811,-2339.574179,6360.8748,0.0,-2250.036092826165,0.0,0.0,0.0,0.0,-3099.5315402639926,-44.009626909842474,-967.29754,2889.584706432,0.0,-1941.5483763504094,0.0,0.0,0.0,0.0,654.1565139184087,-0.0,-1602.192844,790.6142000000001,0.0,-0.008702123254682944,0.0,0.0,0.0,0.0,8896.908246123256,-0.0,-9687.513744,4543.900432578001,385.52928440996686,-566.4224272170555,0.0,0.0,0.0,0.0,-2856.112290745268,-9.921687025643566,-1496.973312,5804.5013,0.0,-950.8713664398094,0.0,0.0,0.0,0.0,4888.770881716848,-93.17493727703985,-9649.225878,5901.7682,0.0,-2219.2608009234727,0.0,0.0,0.0,0.0,-2418.617717316776,-36.27926575975164,-1227.610416,4794.5299226012885,0.0,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1615.956972
t17,9126.331711031626,1428.9096982863407,-0.0,0.0,0.0,0.0,0.0,-7424.122078377183,-99.07863794078327,-3032.040693,1403.3661880083687,0.0,-0.0,0.0,0.0,0.0,0.0,818.8795489916314,-0.0,-2222.245737,3397.534805811483,321.94402528902265,-0.0,0.0,0.0,0.0,0.0,2092.8618096365135,-166.76434873701885,-5645.576292,2401.2259073887553,556.0986784773502,-0.0,0.0,0.0,0.0,0.0,-1852.8647820698695,-67.68571079623557,-1036.774093,1163.277056432,0.0,-0.0,0.0,0.0,0.0,0.0,511.3387465680006,-0.0,-1674.615803,542.546,251.65764229425247,-0.0,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-10165.66849,3588.344632578,2070.5726722346594,-0.0,0.0,0.0,0.0,0.0,-4039.1260799994902,-7.823519813169762,-1611.967705,4139.3067,950.8713664398094,-0.0025234782608928932,0.0,0.0,0.0,0.0,5655.662545216704,-84.83493817825055,-10661.00315,3466.3215000000005,278.55416258071347,-0.014695144868423727,0.0,0.0,0.0,0.0,-2002.495591562409,-30.037433873436136,-1712.327942,4825.1068216608,60.33884194048844,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1706.872713
t18,7177.011710611513,3748.013187454314,-0.0,0.0,0.0,0.0,0.0,-7337.834537242805,-97.96462182302199,-3489.225739,1437.3375809586614,0.0,-0.0,0.0,0.0,0.0,0.0,806.8597490413388,-0.0,-2244.19733,3893.350371401418,1416.3601847654104,-0.0,0.0,0.0,0.0,0.0,2018.594068452428,-165.65033261925754,-7162.654292,1956.0469073887557,1785.196790476153,-0.0,0.0,0.0,0.0,0.0,-2573.6276300686727,-67.68571079623557,-1099.930357,832.664156432,1941.5483763504094,-0.0,0.0,0.0,0.0,0.0,-1021.3180727824102,-0.0,-1752.89446,740.3728000000001,586.5971022942537,-0.0,0.0,0.0,0.0,0.0,9371.464847705747,-0.0,-10698.43475,2515.276869718906,2890.928102711817,-0.0,0.0,0.0,0.0,0.0,-3660.2229101549824,-35.94126727574036,-1710.040795,3836.8054673546803,1220.6263012857635,-0.0,0.0,0.0,0.0,0.0,6950.917950618838,-104.26376925928257,-11904.08595,1184.7540999999999,3703.8491249517356,-0.0,0.0,0.0,0.0,0.0,-1423.234499459838,-21.348517491897567,-3444.020208,4856.587821660799,85.11981194048812,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1763.134683
