Line,New_Trans_Capacity,Cost_Trans_Capacity
1,397.6838374603689,1.0892501833964069e8
2,3459.5075344025545,1.735065024867433e9
3,2420.115941011335,2.979986550240513e9
4,2969.347109448763,9.88367948800561e8
5,817.558092454839,9.484539164555379e8
6,703.97699970555,7.39823090892302e7
7,2052.1534909463944,2.0813950748205457e9
8,809.1373490232218,2.4682300416243282e8
9,0.0,0.0
10,0.0,0.0
