Time_Index,QL_CO,NSW_CO,QL_GA,QL_BI,QL_DI,NSW_GA,NSW_BI,NSW_DI,VIC_CO,VIC_GA,VIC_BI,VIC_DI,SA_GA,SA_DI,SA_BI,TAS_GA,TAS_DI,TAS_BI,None
39,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
40,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
41,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
42,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
43,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
44,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
45,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
46,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
47,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
48,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
49,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
50,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
51,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
52,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
53,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
54,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
55,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
56,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
57,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
58,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
59,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
60,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
61,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
62,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
63,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
64,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
65,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
66,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
67,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
68,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
69,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
70,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
71,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
72,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
73,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
74,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
75,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
76,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
77,2.3,2.8,10.51,0.66,51.0,11.24,0.66,51.0,0.8,10.43,0.66,51.0,10.86,51.0,0.66,11.83,51.0,0.66,0.0
