Period_Index,Rep_Period,Rep_Period_Index
1,3,1
2,3,1
3,3,1
4,3,1
5,3,1
6,3,1
7,3,1
8,13,2
9,13,2
10,13,2
11,13,2
12,13,2
13,13,2
14,14,3
15,14,3
16,13,2
17,14,3
18,13,2
19,29,6
20,14,3
21,25,4
22,25,4
23,29,6
24,25,4
25,25,4
26,29,6
27,25,4
28,28,5
29,29,6
30,28,5
31,29,6
32,32,7
33,37,8
34,37,8
35,29,6
36,28,5
37,37,8
38,37,8
39,37,8
40,42,9
41,42,9
42,42,9
43,42,9
44,42,9
45,13,2
46,42,9
47,42,9
48,3,1
49,49,10
50,3,1
51,51,11
52,13,2
