Resource,Fuel,Zone,AnnualSumCosts
CNQ_COAL,QL_CO,1,6.124284038081146e7
GG_COAL,QL_CO,2,4.413414147093391e7
SQ_COAL,QL_CO,3,8.889346111494221e7
CNSW_COAL,NSW_CO,5,6.626303845672997e7
SNW_COAL,NSW_CO,6,3.666336405013537e8
VIC_COAL,VIC_CO,8,9.427748414049556e6
CNQ_CCGT,QL_GA,1,1.1389714711342801e8
GG_CCGT,QL_GA,2,8.776075470538089e7
SQ_CCGT,QL_GA,3,5.1989365822792035e8
NNSW_CCGT,NSW_GA,4,1.450057251971389e8
CNSW_CCGT,NSW_GA,5,0.0
SNW_CCGT,NSW_GA,6,2.5716893323139453e8
SNSW_CCGT,NSW_GA,7,2.837434656657331e8
VIC_CCGT,VIC_GA,8,1.4577209790601132e9
SA_CCGT,SA_GA,9,5.1189922191414213e8
TAS_CCGT,TAS_GA,10,3.8417544509834385e8
CNQ_OCGT,QL_GA,1,0.0
GG_OCGT,QL_GA,2,0.0
SQ_OCGT,QL_GA,3,0.0
NNSW_OCGT,NSW_GA,4,0.0
CNSW_OCGT,NSW_GA,5,0.0
SNW_OCGT,NSW_GA,6,0.0
SNSW_OCGT,NSW_GA,7,0.0
VIC_OCGT,VIC_GA,8,1.3324617095556138e7
SA_OCGT,SA_GA,9,1.12357670579915e7
TAS_OCGT,TAS_GA,10,2.2596074336739676e6
CNQ_BIO,QL_BI,1,0.0
