Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
SQ_SQ8_SOLAR,3,None,1694.936086,0.0,0.0,0.0,1694.936086,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_SN1_SOLAR,4,None,494.8402631,0.0,0.0,0.0,494.8402631,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_SN2_SOLAR,4,None,710.3859735,0.0,0.0,0.0,710.3859735,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_SN3_SOLAR,5,None,1004.9239489999999,0.0,0.0,0.0,1004.9239489999999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_SN5_SOLAR,7,None,1389.47513,0.0,0.0,0.0,1389.47513,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_SN9_SOLAR,6,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_SV2_SOLAR,8,None,696.51,0.0,0.0,34.763799238883834,731.2737992388838,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_SV6_SOLAR,8,None,400.59,0.0,0.0,0.0,400.59,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_SS3_SOLAR,9,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_SS7_SOLAR,9,None,175.0,0.0,0.0,524.9999999999999,700.0,64339.976560805466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_SS5_SOLAR,9,None,175.0,0.0,0.0,36.543133843204366,211.54313384320437,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_ST2_SOLAR,10,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_WQ1_WIND,1,None,180.52,0.0,0.0,1219.4799999999998,1400.0,728241.1049514706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_WQ2_WIND,1,None,212.0,0.0,0.0,597.4764139636974,809.4764139636973,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_WQ4_WIND,1,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_WQ3_WIND,1,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GG_WQ6_WIND,2,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_WQ8_WIND,3,None,625.88,0.0,0.0,4057.8429623761335,4683.722962376134,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_WN2_WIND,4,None,270.0,0.0,0.0,1011.9520155564277,1281.9520155564278,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
