Line,1,2,3,4,5,6,7,8,9,10,Total
AnnualSum,0.0,163535.41568256746,131350.55697800496,0.0,0.0,0.0,161393.65909135423,99701.4910886945,173284.0355449473,0.0,729265.1583855685
t1,0.0,0.0,0.0,0.0,0.0,0.0,28.590954015539097,2.3613641238425744,28.541846182297554,0.0,59.49416432167922
t2,0.0,0.0,28.56242641824785,0.0,0.0,0.0,28.590954015539097,14.096331943147094,28.541846182297554,0.0,99.79155855923159
t3,0.0,0.0,0.0,0.0,0.0,0.0,28.590954015539097,18.491348055998692,28.541846182297554,0.0,75.62414825383534
t4,0.0,0.0,0.0,0.0,0.0,0.0,28.590954015539097,22.8587685337414,28.541846182297554,0.0,79.99156873157804
t5,0.0,0.0,7.414186963878416,0.0,0.0,0.0,28.590954015539097,19.621899530554078,28.541846182297554,0.0,84.16888669226915
t6,0.0,0.0,4.131681926415703,0.0,0.0,0.0,28.590954015539097,19.933916742270185,28.541846182297554,0.0,81.19839886652254
t7,0.0,13.666040806484533,0.0,0.0,0.0,0.0,28.590954015539097,12.560806572091922,28.541846182297554,0.0,83.3596475764131
t8,0.0,5.269493155249874,0.0,0.0,0.0,0.0,28.590954015539097,9.66043492270814,28.541846182297554,0.0,72.06272827579467
t9,0.0,28.093547815153187,0.0,0.0,0.0,0.0,28.590954015539097,17.34387522626513,28.541846182297554,0.0,102.57022323925497
t10,0.0,45.82899746619615,34.95356631941561,0.0,0.0,0.0,28.590954015539097,29.881134072220412,28.541846182297554,0.0,167.79649805566882
t11,0.0,50.22866294807495,36.0,0.0,0.0,0.0,28.590954015539097,30.22143779358424,28.541846182297554,0.0,173.58290093949583
t12,0.0,50.11280768630107,36.0,0.0,0.0,0.0,28.590954015539097,30.22143779358424,28.541846182297554,0.0,173.46704567772196
t13,0.0,41.41201843793097,36.0,0.0,0.0,0.0,28.590954015539097,30.22143779358424,28.541846182297554,0.0,164.76625642935184
t14,0.0,35.851968072309475,25.73223209739635,0.0,0.0,0.0,28.590954015539097,30.22143779358424,28.541846182297554,0.0,148.93843816112673
t15,0.0,28.12061096827915,0.0,0.0,0.0,0.0,28.590954015539097,30.22143779358424,28.541846182297554,0.0,115.47484895970004
t16,0.0,18.87051071375657,0.44912085585692085,0.0,0.0,0.0,26.164535492581656,16.532604889731132,28.541846182297554,0.0,90.55861813422383
t17,0.0,0.0,24.56666924758696,0.0,0.0,0.0,28.590954015539097,0.0,28.541846182297554,0.0,81.6994694454236
t18,0.0,0.0,36.0,0.0,0.0,0.0,28.590954015539097,2.505769405573433,28.541846182297554,0.0,95.63856960341008
t19,0.0,0.0,0.0,0.0,0.0,0.0,28.590954015539097,0.0,28.541846182297554,0.0,57.13280019783665
t20,0.0,0.0,0.0,0.0,0.0,0.0,4.91500296887276,7.070036939492623,28.541846182297554,0.0,40.52688609066294
t21,0.0,0.0,0.0,0.0,0.0,0.0,20.922315464748344,2.88381056235422,28.541846182297554,0.0,52.34797220940012
t22,0.0,0.0,0.0,0.0,0.0,0.0,11.730794915620697,1.6899130279536339,28.541846182297554,0.0,41.96255412587189
t23,0.0,0.0,35.56027633092835,0.0,0.0,0.0,24.81342054708444,0.0,28.541846182297554,0.0,88.91554306031034
t24,0.0,0.0,0.0,0.0,0.0,0.0,16.72953204096324,0.0,28.541846182297554,0.0,45.2713782232608
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.117241577193957,28.541846182297554,0.0,36.65908775949151
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.348175179578945,28.541846182297554,0.0,30.8900213618765
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.541846182297554,0.0,28.541846182297554
t28,0.0,0.0,0.0,0.0,0.0,0.0,17.04689494416244,3.4450957813180714,28.541846182297554,0.0,49.03383690777807
t29,0.0,0.0,0.0,0.0,0.0,0.0,4.464796603834235,0.0,28.541846182297554,0.0,33.00664278613179
t30,0.0,0.0,0.0,0.0,0.0,0.0,1.0188529757978968,4.342155705797752,28.541846182297554,0.0,33.902854863893204
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.541846182297554,0.0,28.541846182297554
t32,0.0,0.0,2.3339159572757326,0.0,0.0,0.0,28.590954015539097,0.0,28.541846182297554,0.0,59.46671615511238
t33,0.0,17.024294211084168,17.77058200456231,0.0,0.0,0.0,18.22011821788565,12.210939197944397,28.541846182297554,0.0,93.76777981377407
t34,0.0,29.814367808692772,1.0840861142148257,0.0,0.0,0.0,0.0,23.299816049753222,28.541846182297554,0.0,82.74011615495837
t35,0.0,36.75629130937697,5.697735007212732,0.0,0.0,0.0,28.590954015539097,0.0,28.541846182297554,0.0,99.58682651442635
t36,0.0,31.962752511700053,12.57075837356989,0.0,0.0,0.0,28.590954015539097,5.452776817040012,28.541846182297554,0.0,107.11908790014661
t37,0.0,19.86316633975882,36.0,0.0,0.0,0.0,28.590954015539097,9.75699906380151,28.541846182297554,0.0,122.752965601397
t38,0.0,8.623998902691595,36.0,0.0,0.0,0.0,28.590954015539097,0.0,28.541846182297554,0.0,101.75679910052824
t39,0.0,17.492117116955267,36.0,0.0,0.0,0.0,28.590954015539097,0.0,28.541846182297554,0.0,110.62491731479193
t40,0.0,0.0,36.0,0.0,0.0,0.0,0.0,18.99476826048576,28.541846182297554,0.0,83.5366144427833
t41,0.0,3.137098814504778,11.424935222951294,0.0,0.0,0.0,0.0,29.481381354375202,28.541846182297554,0.0,72.58526157412882
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.095708112282505,28.541846182297554,0.0,58.637554294580056
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.27922758697891,28.541846182297554,0.0,56.82107376927647
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22143779358424,28.541846182297554,0.0,58.76328397588179
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.84361506998071,28.541846182297554,0.0,56.38546125227826
