Line,New_Trans_Capacity,Cost_Trans_Capacity
1,311.8625870519256,1.3239029959427233e8
2,0.0,0.0
3,0.0,0.0
4,1238.4547952526061,6.430424761063799e8
5,0.0,0.0
6,1022.3600878672676,1.616813160488584e8
7,83.03180051796991,1.2707211962120862e8
8,357.3812597861413,1.6534746995975438e8
9,489.3948727432518,1.4441801647705271e9
10,0.0,0.0
