Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
,,,,,,,38,1102.315689,1634.866861,201.07738,0.0,841.930296,4343.439652,285.091279,7593.28589,883.822017,1570.416514
,,,,,,,39,1201.362913,1642.973198,629.789924,0.0,907.589468,4488.056323,345.939665,8006.867673,948.949064,1569.239882
,,,,,,,40,1668.060244,1665.7431,2203.400872,218.16634,1078.87473,5624.704185,629.004979,8447.050692,1064.896777,1608.811763
,,,,,,,41,2399.199229,1700.563755,4643.554624,780.863519,1451.492666,8439.533842,1284.711266,9815.498411,1901.250192,1797.927515
,,,,,,,42,2789.223938,1719.684476,5962.816095,1006.232777,1646.020177,9844.955882,1572.935242,11124.00883,3047.998665,1909.642264
,,,,,,,43,2799.770979,1720.192774,5998.508918,1002.488527,1641.286658,9812.439385,1567.285845,11074.51522,3283.537962,1898.544792
,,,,,,,44,2772.373021,1718.67696,5899.509723,986.87688,1621.567143,9676.932437,1543.741166,10828.50809,3201.278323,1871.39892
,,,,,,,45,2774.22669,1718.779515,5905.075578,971.149949,1601.702594,9540.427283,1520.022985,10601.56746,3174.273255,1854.268513
,,,,,,,46,2724.991991,1716.055565,5728.375818,947.214845,1571.462948,9332.646563,1483.921243,10333.95594,3070.458244,1806.519723
,,,,,,,47,2680.316229,1713.583842,5568.672784,917.00362,1533.288263,9070.358667,1438.349529,10043.25788,2964.857865,1749.098612
,,,,,,,48,2567.354435,1707.334138,5164.851946,870.298728,1474.271024,8664.870682,1367.897376,10178.95655,3115.395538,1657.055026
,,,,,,,49,2466.638527,1701.761947,4808.730238,812.232899,1400.884667,8160.692775,1280.299579,9355.250232,2917.4444,1604.008458
,,,,,,,50,2422.810042,1699.3371,4652.334804,757.608442,1331.859948,7686.447118,1197.901032,8835.275024,2663.794811,1581.798192
,,,,,,,51,2404.991387,1698.351268,4589.496632,703.924788,1264.021084,7220.357052,1116.919803,8732.439948,2493.657316,1579.957116
,,,,,,,52,2384.920249,1697.240816,4518.901346,667.474802,1217.955539,6903.873677,1061.932594,8763.82802,2319.108773,1580.073767
,,,,,,,53,2341.538826,1694.840703,4364.621811,653.198472,1199.909074,6779.900155,1040.393315,8770.871877,2244.51829,1583.254945
,,,,,,,54,2337.877317,1694.638127,4351.647743,672.724774,1224.57949,6949.411631,1069.845714,8759.157679,2233.314579,1572.973599
,,,,,,,55,2415.361312,1699.402303,4642.71002,739.972812,1311.809651,7547.011943,1172.578607,8827.788379,2257.495291,1593.069797
,,,,,,,56,1878.249429,1675.860464,2913.222706,487.464,1243.377223,6885.578637,935.352689,8871.987547,2373.341866,1645.593661
,,,,,,,57,1366.89471,1652.740182,1243.701368,117.037994,1079.719807,5528.838538,551.080485,8837.401443,2350.663747,1705.632399
,,,,,,,58,1040.725075,1636.927699,146.27122,0.0,805.554713,4474.514201,269.969941,8824.850391,2206.074388,1686.773013
,,,,,,,59,1003.594482,1567.597005,0.0,0.0,710.44443,4151.721714,192.224728,8792.219224,2250.086272,1627.655169
,,,,,,,60,1025.883462,1585.950452,0.0,0.0,754.852746,4215.854379,217.022037,9004.507659,2235.211979,1571.066346
,,,,,,,61,1035.794011,1601.979712,0.0,0.0,766.562894,4182.686223,225.387133,8804.725468,2282.1985,1590.595939
,,,,,,,62,1037.304969,1632.275749,2.962066,0.0,798.190276,4207.317871,257.46818,8706.607671,2228.957932,1587.78733
,,,,,,,63,1095.137462,1637.506738,268.823445,0.0,872.125806,4387.272591,325.388781,8907.242759,2237.585639,1705.669814
,,,,,,,64,1595.99239,1662.486035,1973.864446,266.365343,1117.653169,5905.239669,689.733942,9584.479308,2232.440401,1757.771152
,,,,,,,65,2414.785719,1701.924888,4720.536297,809.413491,1484.552949,8669.017902,1326.047844,10566.60484,2609.625291,1830.194324
,,,,,,,66,2937.611065,1727.891777,6499.541101,1045.189019,1695.224394,10183.08017,1631.685468,11298.71839,3192.299897,1931.645339
,,,,,,,67,3000.693914,1731.309001,6723.578304,1055.155466,1707.814911,10269.59431,1646.717349,11238.57498,3351.968721,1906.070854
,,,,,,,68,2972.88859,1729.770649,6622.950764,1032.788751,1679.560404,10075.44397,1612.983492,10969.8341,3255.146206,1878.451613
,,,,,,,69,2953.290828,1728.686386,6551.591093,1004.110992,1643.332177,9826.506013,1569.730364,10705.50893,3213.939395,1846.124978
,,,,,,,70,2850.973567,1723.0256,6184.558045,953.779902,1579.740211,9389.566639,1493.812859,10184.19111,3092.045602,1780.6716
,,,,,,,71,2734.642162,1716.589469,5768.087474,893.080637,1503.04362,8862.598297,1402.253464,9724.721662,2929.460336,1695.374794
,,,,,,,72,2620.830452,1710.292742,5363.267645,843.023208,1439.791472,8428.009808,1326.745048,9745.058852,3058.196366,1611.272356
,,,,,,,73,2515.71231,1704.476994,4983.958998,780.17577,1360.409483,7882.512714,1231.963281,8587.571604,2827.581666,1557.261568
,,,,,,,74,2431.949445,1699.842745,4685.738441,735.745156,1304.264275,7496.762327,1164.940657,8059.272436,2607.695463,1545.683134
,,,,,,,75,2400.856924,1698.122526,4575.152342,687.613816,1243.440349,7078.87249,1092.334167,7942.28665,2495.988821,1550.608929
,,,,,,,76,2382.86724,1697.127232,4511.770607,656.789699,1204.483873,6811.232893,1045.833386,7944.882347,2387.761153,1545.141411
,,,,,,,77,2428.232542,1699.637104,4674.928537,663.552464,1213.023437,6869.921574,1056.030977,7983.264461,2340.206445,1548.44748
