Resource,Zone,AnnualSum,Capacity,CapacityFactor
CNQ_RS,1,461054.5531865569,163.4,0.3221040288186593
GG_RS,2,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0
NNSW_RS,4,0.0,2.5079129465923367,0.0
CNSW_RS,5,63931.4414397941,48.0,0.15204395319586095
SNW_RS,6,0.0,0.0,0.0
SNSW_RS,7,2.9129186486623995e6,2342.0,0.14198333044106567
VIC_RS,8,849100.3355757752,2292.23,0.04228601058882897
SA_RS,9,0.0,0.0,0.0
TAS_RS,10,5.429255923766381e6,2294.2,0.27014997536802704
CNQ_COAL,1,0.0,0.0,0.0
GG_COAL,2,0.0,0.0,0.0
SQ_COAL,3,0.0,0.0,0.0
CNSW_COAL,5,0.0,0.0,0.0
SNW_COAL,6,0.0,0.0,0.0
VIC_COAL,8,0.0,0.0,0.0
CNQ_CCGT,1,2.486831997017807e6,890.8100582046318,0.318681775707129
GG_CCGT,2,1.6507799198062324e6,581.3941850488957,0.32412638648779823
SQ_CCGT,3,4.211593510953958e6,2456.1644395436774,0.1957423970515651
NNSW_CCGT,4,573451.1983467197,268.5533586285746,0.2437596234096409
CNSW_CCGT,5,444886.4510397185,137.08672705166953,0.37046711698625945
SNW_CCGT,6,6.804532162148739e6,3046.7937336431496,0.25494770758310126
SNSW_CCGT,7,908227.9368667038,491.25852595760387,0.2110477126573936
VIC_CCGT,8,6.684673452430029e6,2608.694428446724,0.2925181916441622
SA_CCGT,9,1.9619131447093552e6,990.4003217137054,0.22613349656903242
TAS_CCGT,10,1.4979049643437034e6,607.5418294648264,0.2814517603528029
CNQ_OCGT,1,158140.8713689836,16294.01503057372,0.0011079289452597895
GG_OCGT,2,126685.70915462877,1332.0184607513443,0.010857085971943105
SQ_OCGT,3,9002.217999206656,1600.0,0.0006422815353315402
NNSW_OCGT,4,64.17582417582419,16.0,0.0004578754578754688
CNSW_OCGT,5,656623.4699846825,3390.4256981532976,0.022108438230151625
SNW_OCGT,6,1209.4913977299548,1270.0,0.00010871637343418396
SNSW_OCGT,7,2357.0784948384644,692.0,0.00038883365251249114
VIC_OCGT,8,323582.6837873471,3939.311493085439,0.009376933659001182
SA_OCGT,9,153226.4291641021,2055.638148344409,0.008509085860679985
TAS_OCGT,10,806.6726119117781,535.3952414509099,0.0001719961394357044
CNQ_BIO,1,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,2.530959005895981e6,1643.4427404371477,0.17580305893114642
CNQ_SQ3_SOLAR,1,1.9317038202341234e6,916.1614677,0.24069352674646213
CNQ_SQ4_SOLAR,1,452073.3685666966,423.0383483,0.12199023830941924
GG_SQ6_SOLAR,2,1.0998754767049192e6,658.6706490148439,0.1906211571070905
SQ_SQ7_SOLAR,3,607903.2457716769,427.9138106,0.16217132041971152
SQ_SQ8_SOLAR,3,3.1579430177142294e6,1694.936086,0.21268989506775338
NNSW_SN1_SOLAR,4,5.335736189499085e6,2395.7593225648384,0.2542418593555815
NNSW_SN2_SOLAR,4,970443.1478872666,710.3859735,0.15594505719174695
CNSW_SN3_SOLAR,5,8.912674160047516e6,4068.0226845549237,0.2501039536839233
SNSW_SN5_SOLAR,7,2.4320778681403296e6,1428.8271027836315,0.19430934596109767
SNW_SN9_SOLAR,6,0.0,0.0,0.0
VIC_SV2_SOLAR,8,1.0181633105778925e7,4700.0,0.24729508174922682
VIC_SV6_SOLAR,8,934764.2794578895,400.59,0.26637772056134773
SA_SS3_SOLAR,9,0.0,0.0,0.0
SA_SS7_SOLAR,9,1.0365745749628451e6,700.0,0.16904347275976347
SA_SS5_SOLAR,9,3.1089004591706833e6,1659.899028907867,0.21380656685137703
TAS_ST2_SOLAR,10,673401.5196246101,400.3554200364303,0.192010188309321
CNQ_WQ1_WIND,1,4.687244297531858e6,1400.0,0.38219539281897985
CNQ_WQ2_WIND,1,1.4328215749871526e7,5587.788760796205,0.2927170545194175
CNQ_WQ4_WIND,1,6.125950432343911e6,2375.413372848444,0.2943948274764365
CNQ_WQ3_WIND,1,0.0,0.0,0.0
GG_WQ6_WIND,2,8.032613783643132e6,2925.9013827325907,0.3133957450536209
SQ_WQ8_WIND,3,2.1649619075665135e7,8000.0,0.30892721283769475
NNSW_WN2_WIND,4,1.4355673893325401e7,5037.008404920512,0.32534699703855074
CNSW_WN3_WIND,5,2.2729910165365037e7,8000.0,0.3243423254190293
SNW_WN9_WIND,6,3.751658314911171e6,1600.0,0.26766968570999283
SNSW_WACT_WIND,7,9.410211143184971e6,3000.0,0.3580750054484473
VIC_WV3_WIND,8,1.2742548952474076e7,4300.0,0.33828578508214874
VIC_WV4_WIND,8,1.0327452373747088e7,3400.0,0.34674497628751455
