Period_Index,Rep_Period,Rep_Period_Index
1,52,11
2,6,1
3,52,11
4,9,2
5,9,2
6,6,1
7,9,2
8,9,2
9,9,2
10,6,1
11,13,3
12,13,3
13,13,3
14,13,3
15,13,3
16,13,3
17,13,3
18,13,3
19,20,4
20,20,4
21,28,5
22,28,5
23,20,4
24,28,5
25,28,5
26,28,5
27,28,5
28,28,5
29,36,8
30,30,6
31,28,5
32,36,8
33,33,7
34,36,8
35,36,8
36,36,8
37,28,5
38,28,5
39,28,5
40,40,9
41,40,9
42,40,9
43,40,9
44,40,9
45,40,9
46,13,3
47,47,10
48,52,11
49,52,11
50,52,11
51,52,11
52,52,11
