Iteration_Number,Seconds,Upper_Bound,Lower_Bound,Relative_Gap
1.0,67503.5932071209,237298.8301389056,232697.2869702949,0.019774803688184517
2.0,60548.02529215813,233926.4194031753,233605.4037978613,0.0013741788507245713
