Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
SQ_SQ7_SOLAR,3,None,427.9138106,0.0,0.0,0.0,427.9138106,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_SQ8_SOLAR,3,None,1694.936086,0.0,0.0,0.0,1694.936086,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_SN1_SOLAR,4,None,2395.7593225648384,0.0,0.0,3604.2406774351616,6000.0,21986.9255309611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_SN2_SOLAR,4,None,710.3859735,0.0,0.0,960.0374826438016,1670.4234561438016,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_SN3_SOLAR,5,None,4068.0226845549237,0.0,0.0,1881.4905800966376,5949.513264651561,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_SN5_SOLAR,7,None,1428.8271027836315,0.0,0.0,1771.1728972163687,3200.0,103110.59901144575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_SN9_SOLAR,6,None,0.0,0.0,0.0,1000.0,1000.0,8449.474973027807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_SV2_SOLAR,8,None,4700.0,0.0,0.0,0.0,4700.0,128217.88087066247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_SV6_SOLAR,8,None,400.59,0.0,0.0,1599.41,2000.0,103127.29078150963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_SS3_SOLAR,9,None,0.0,0.0,0.0,4000.0,4000.0,59080.89059354019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_SS7_SOLAR,9,None,700.0,0.0,0.0,0.0,700.0,111946.0640661513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_SS5_SOLAR,9,None,1659.899028907867,0.0,0.0,1340.100971092133,3000.0,54168.98088274828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_ST2_SOLAR,10,None,400.3554200364303,0.0,0.0,99.64457996356968,500.0,28755.077049489326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_WQ1_WIND,1,None,1400.0,0.0,0.0,0.0,1400.0,510597.62109597697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_WQ2_WIND,1,None,5587.788760796205,0.0,0.0,412.21123920379557,6000.0,116939.63173987181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_WQ4_WIND,1,None,2375.413372848444,0.0,0.0,1424.5866271515556,3800.0,299.6169078219567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_WQ3_WIND,1,None,0.0,0.0,0.0,7771.357065190422,7771.357065190422,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GG_WQ6_WIND,2,None,2925.9013827325907,0.0,0.0,574.0986172674094,3500.0,20191.491094520497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_WQ8_WIND,3,None,8000.0,0.0,0.0,0.0,8000.0,130103.17143362357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_WN2_WIND,4,None,5037.008404920512,0.0,0.0,2362.991595079489,7400.0,224970.10433206434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_WN3_WIND,5,None,8000.0,0.0,0.0,0.0,8000.0,290017.7364125084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_WN9_WIND,6,None,1600.0,0.0,0.0,0.0,1600.0,49131.70429625915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_WACT_WIND,7,None,3000.0,0.0,0.0,0.0,3000.0,354630.46541420085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_WV3_WIND,8,None,4300.0,0.0,0.0,0.0,4300.0,287806.8381796316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_WV4_WIND,8,None,3400.0,0.0,0.0,0.0,3400.0,520730.9071250723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_WV7_WIND,8,None,2000.0,0.0,0.0,0.0,2000.0,100377.3171966813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_WV5_WIND,8,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_WS1_WIND,9,None,1100.0,0.0,0.0,0.0,1100.0,276195.2467079431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_WS3_WIND,9,None,4600.0,0.0,0.0,0.0,4600.0,347546.54945005535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_WS4_WIND,9,None,800.0,0.0,0.0,0.0,800.0,296904.1337829624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_WT1_WIND,10,None,168.0,0.0,0.0,431.99999999999994,600.0,533535.2939407409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_WT2_WIND,10,None,596.9924529946829,0.0,0.0,203.0075470053171,800.0,277011.99896383827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_WT3_WIND,10,None,544.708811517692,0.0,0.0,1755.2911884823077,2300.0,644509.5256211234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_BATTERY,1,None,52.0,0.0,0.0,0.0,52.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0
GG_BATTERY,2,None,238.9018086467309,0.0,0.0,123.83621393675956,362.7380225834905,0.0,477.8036172934618,0.0,247.67242787351913,725.476045166981,0.0,0.0,0.0,0.0
SQ_BATTERY,3,None,200.0,0.0,0.0,0.0,200.0,0.0,400.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0
NNSW_BATTERY,4,None,0.0,0.0,0.0,1558.097261295194,1558.097261295194,0.0,0.0,0.0,3116.194522590388,3116.194522590388,0.0,0.0,0.0,0.0
CNSW_BATTERY,5,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_BATTERY,6,None,1014.9507448734194,0.0,0.0,705.549673854721,1720.5004187281406,0.0,2029.9014897468387,0.0,1411.099347709442,3441.0008374562813,0.0,0.0,0.0,0.0
SNSW_BATTERY,7,None,310.32,0.0,0.0,0.0,310.32,0.0,620.64,0.0,0.0,620.64,0.0,0.0,0.0,0.0
VIC_BATTERY,8,None,580.4,0.0,0.0,0.0,580.4,0.0,1160.8,0.0,0.0,1160.8,0.0,0.0,0.0,0.0
SA_BATTERY,9,None,512.43,0.0,0.0,0.0,512.43,0.0,1024.86,0.0,0.0,1024.86,0.0,0.0,0.0,0.0
TAS_BATTERY,10,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
