BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,6.664750075262579e7,3.5441272020199755e6,-4.880667175574487e6,0.0,0.0,0.0,0.0,-3.784226619893321e7,-613144.6773653504,-2.6855549902772713e7,1.1423330644807985e7,1.0763981820513424e6,-1.2717450663538917e6,0.0,0.0,0.0,0.0,7.783354791627531e6,0.0,-1.901133855213287e7,2.3561134907561198e7,6.856081136652394e6,-9.387962227764716e6,0.0,0.0,0.0,0.0,1.701324257833222e7,-929663.7970837441,-3.711283259769734e7,3.374862117419268e7,1.1019708552134177e7,-1.441870665828215e7,0.0,0.0,0.0,0.0,-2.5541501599395182e7,-316519.11971840315,-4.491602348931086e6,2.7196371036521703e7,5.455871020818529e6,-7.562098017522683e6,0.0,0.0,0.0,0.0,-1.4842204087977286e7,0.0,-1.0247939951840293e7,8.397253013800489e6,4.669728457751806e6,-5.517201809059313e6,0.0,0.0,0.0,0.0,5.301333505933073e7,0.0,-6.0563114721823715e7,1.5714780450942507e7,9.32374990479773e6,-1.2966299901938519e7,0.0,0.0,0.0,0.0,-4.545412529003852e6,-189092.75983659044,-7.337725164961328e6,4.298003868677213e7,6.721241438692866e6,-8.997981751115069e6,0.0,0.0,0.0,0.0,2.2328963381328646e7,-750385.5042333476,-6.22818762514453e7,3.114180933361378e7,4.1636402524594176e6,-5.484041490648259e6,0.0,0.0,0.0,0.0,-1.1281854471556298e7,-255374.45155668512,-1.8284179172312003e7,2.083054925868816e7,7.571836415810093e6,-1.051849221662509e7,0.0,0.0,0.0,0.0,-6.085656923753448e6,-305918.29284007614,-1.1492318241279759e7
t1,5640.66254767166,1124.7503709909433,-0.0,0.0,0.0,0.0,0.0,-3724.0940543258544,-34.67508633674897,-3006.643778,804.9860000000001,-0.0013348759230336071,-0.0,0.0,0.0,0.0,0.0,1412.4216318759234,-0.0,-2217.406297,3282.312,2000.0,-0.0,0.0,0.0,0.0,0.0,190.22996421034267,-66.49672321034281,-5406.045241,586.1022,2249.9885323926896,-0.0,0.0,0.0,0.0,0.0,-1984.8246625190952,-31.821636873593828,-819.444433,61.016312864000014,2000.0,-0.0,0.0,0.0,0.0,0.0,-662.3477008640011,-0.0,-1398.668612,33.638400000000004,761.8693343773164,-0.0,0.0,0.0,0.0,0.0,7468.614821622685,-0.0,-8264.122556,844.298632578,720.9909451032402,-124.02829352106437,0.0,0.0,0.0,0.0,-115.42659102555942,-38.76860113461661,-1287.066092,7854.24826735468,829.016253838345,-1515.2226856231468,0.0,0.0,0.0,0.0,2681.1741590856395,-117.75481465551782,-9731.46118,5935.147800000001,0.0,-1412.43,0.0,0.0,0.0,0.0,-1528.9965743842365,-22.934948615763545,-2970.786277,4952.6875216608,627.5944601523364,-217.72655923215555,0.0,0.0,0.0,0.0,-3736.7509936758443,-56.05126490513766,-1569.753164
t2,5846.055409570102,1074.060683193823,-0.0,0.0,0.0,0.0,0.0,-3971.42297210239,-37.38039666153584,-2911.312724,732.7355000000001,0.0,-0.0,0.0,0.0,0.0,0.0,1479.396528,-0.0,-2212.132028,3336.1040000000003,2000.0,-0.002608695652067913,0.0,0.0,0.0,0.0,-194.58957633623487,-77.6796369681152,-5063.832178,549.4796000000001,2250.0,-0.0,0.0,0.0,0.0,0.0,-1968.0839396934205,-40.299240306579364,-791.09642,5.624,2000.0,-0.0,0.0,0.0,0.0,0.0,-646.9011360000003,-0.0,-1358.722864,4.768000000000001,0.0,-12.161298132045074,0.0,0.0,0.0,0.0,8001.601096132045,-0.0,-7994.207798,844.298632578,720.9909451032402,-169.5694275210634,0.0,0.0,0.0,0.0,-115.42659102555942,-38.76860113461661,-1241.524958,7755.206967354679,1773.1349170286915,-571.1040224328002,0.0,0.0,0.0,0.0,860.3058754504194,-90.44179040098952,-9727.101947,5907.5497,209.22888103603907,-1203.2011189639609,0.0,0.0,0.0,0.0,-1962.5908808591905,-29.438863212887856,-2921.547718,4981.336221660799,0.0,-1893.4578940416454,0.0,0.0,0.0,0.0,-1482.2884035656696,-22.23432605348504,-1583.355598
t3,5971.985011296883,1124.7507537113258,-0.0,0.0,0.0,0.0,0.0,-4191.26775181597,-40.08119419223955,-2865.386819,690.403,0.0,-0.0,0.0,0.0,0.0,0.0,1519.188139,-0.0,-2209.591139,2577.5280000000002,2000.0,-0.0,0.0,0.0,0.0,0.0,396.3648742704229,-74.21691527042276,-4899.675959,508.5206,2250.0,-0.0,0.0,0.0,0.0,0.0,-1941.0679509218162,-34.1357210781832,-783.316928,28.152156432,2000.0,-0.0,0.0,0.0,0.0,0.0,-721.6948124320002,-0.0,-1306.457344,1.0608,42.313621100635636,-0.0,0.0,0.0,0.0,0.0,7638.477501899364,-0.0,-7681.851923,996.218632578,720.9909451032402,-361.8189705210644,0.0,0.0,0.0,0.0,-115.42659102555942,-38.76860113461661,-1201.195415,7496.69396735468,815.2946586736189,-1031.8761589425706,0.0,0.0,0.0,0.0,2603.221466176147,-116.58552426187542,-9766.748409,5862.2032,1357.1332056440465,-31.309569386446356,0.0,0.0,0.0,0.0,-4184.072920450838,-62.76109380676257,-2941.192822,5046.3026216608,158.17844217972285,-2591.821557820277,0.0,0.0,0.0,0.0,-1003.72195469975,-15.05582932049625,-1593.881722
t4,5085.4034666181515,1124.7507537113258,-0.0,0.0,0.0,0.0,0.0,-3364.6845175512094,-25.59580377826814,-2819.873899,548.7755,0.0,-0.0,0.0,0.0,0.0,0.0,1658.297599,-0.0,-2207.073099,2088.896,2000.0,-0.0,0.0,0.0,0.0,0.0,689.9343315827944,-40.84259258279437,-4737.987739,828.504,3076.7163874041107,-0.0,0.0,0.0,0.0,0.0,-3075.5350705995843,-15.246788804526226,-814.438528,116.728156432,2000.0,-0.0,0.0,0.0,0.0,0.0,-825.9656954320001,-0.0,-1290.762461,16.6816,0.0,-0.0,0.0,0.0,0.0,0.0,7617.953353,-0.0,-7634.634953,1198.985632578,720.9909451032402,-554.7153255210632,0.0,0.0,0.0,0.0,-115.42659102555942,-38.76860113461661,-1211.06606,7324.997167354679,427.38520947479856,-1916.8537299866932,0.0,0.0,0.0,0.0,4040.856223783196,-138.15004562598116,-9738.234825,5928.6263,886.6203672941002,-525.8096327058997,0.0,0.0,0.0,0.0,-3301.8459237322177,-49.527688855983264,-2938.063422,4958.611021660799,0.0,-0.0,0.0,0.0,0.0,0.0,-3323.583709025419,-49.85375563538128,-1585.173557
t5,4640.82235296904,1124.7507537113258,-0.0,0.0,0.0,0.0,0.0,-2895.2172715149577,-15.57198616540926,-2854.783849,351.92500000000007,-0.0053394876737433705,-0.0,0.0,0.0,0.0,0.0,1857.0848604876735,-0.0,-2209.004521,2043.2959999999998,2000.0,-0.0,0.0,0.0,0.0,0.0,839.7275589466188,-18.548058946619236,-4864.4755,928.4188,2793.1998547157605,-0.0,0.0,0.0,0.0,0.0,-2900.0609639345503,-2.976072781209978,-818.581618,161.71215643200003,2000.0,-0.0,0.0,0.0,0.0,0.0,-872.1911004320004,-0.0,-1289.521056,13.328000000000001,949.2633415527846,-0.0,0.0,0.0,0.0,0.0,6670.656916447216,-0.0,-7633.248258,1494.809632578,148.13878715714594,-275.8014875749695,0.0,0.0,0.0,0.0,-115.42659102555942,-38.76860113461661,-1212.95174,7431.651667354679,1609.1159902920738,-735.1229491694181,0.0,0.0,0.0,0.0,1565.9015764384756,-101.02572591581034,-9770.520559,5636.758599999999,866.1820195460394,-113.69796901272929,0.0,0.0,0.0,0.0,-3393.377763087005,-50.90066644630507,-2944.964221,5099.195521660799,0.0,-2750.0,0.0,0.0,0.0,0.0,-757.0972223259116,-11.356458334888673,-1580.741841
t6,4387.656956542863,1176.750753711326,-0.0,0.0,0.0,0.0,0.0,-2567.175691664963,-14.457132589225132,-2982.774886,308.0210000000001,304.69787861671284,-0.0,0.0,0.0,0.0,0.0,1603.3668523832873,-0.0,-2216.085731,1908.056,2200.0,-0.0,0.0,0.0,0.0,0.0,1234.46145786802,-18.516921868020297,-5324.000536,1427.7633999999998,2250.0,-0.0,0.0,0.0,0.0,0.0,-2878.638829721205,-4.059789278795165,-795.064781,316.616156432,2000.0,-0.0,0.0,0.0,0.0,0.0,-997.6793824320005,-0.0,-1318.936774,42.019200000000005,1422.539496433139,-0.0,0.0,0.0,0.0,0.0,6305.6655935668605,-0.0,-7770.22429,2432.242938276697,979.2756888834797,-2040.0,0.0,0.0,0.0,0.0,-115.42659102555942,-38.76860113461661,-1217.323435,7242.250467354681,825.839034247126,-1518.399905214366,0.0,0.0,0.0,0.0,3354.2420841439525,-127.85083353139251,-9776.080847,5889.8715,85.60275442718465,-426.8272455728153,0.0,0.0,0.0,0.0,-2573.848367344206,-38.607725510163085,-2936.190916,4996.3099216608,0.0,-0.0,0.0,0.0,0.0,0.0,-3364.967125774187,-50.47450688661281,-1580.868289
t7,5082.36742694022,1168.4299009151532,-0.0,0.0,0.0,0.0,0.0,-3046.163792539475,-30.064507315898858,-3174.569028,822.5609716036249,362.7380225834905,-0.0,0.0,0.0,0.0,0.0,1041.8633048128847,-0.0,-2227.162299,1788.4280051970109,2167.997456008832,-0.0,0.0,0.0,0.0,0.0,2103.946092176809,-31.559191382652134,-6028.812362,1971.8343496429661,3746.9611828740044,-0.0,0.0,0.0,0.0,0.0,-4864.536427450218,-1.4946840667532757,-852.764421,454.104,2000.0,-0.0,0.0,0.0,0.0,0.0,-1015.3688560000003,-0.0,-1438.735144,62.265600000000006,0.0,-0.0,0.0,0.0,0.0,0.0,8480.259678999999,-0.0,-8542.525279,2966.5826943013035,563.0861688588733,-2040.0,0.0,0.0,0.0,0.0,-115.42659102555942,-38.76860113461661,-1335.473671,7364.558967354679,513.749829197218,-1271.054982544361,0.0,0.0,0.0,0.0,3495.223713971266,-129.96555797880222,-9972.51197,5860.1275,153.03165606454598,-359.39834393545397,0.0,0.0,0.0,0.0,-2661.158088797135,-39.91737133195702,-2952.685352,5134.401421660801,0.0,-0.0,0.0,0.0,0.0,0.0,-3418.639034148572,-51.27958551222858,-1664.482802
t8,6905.700365350035,0.0,-0.0,0.0,0.0,0.0,0.0,-4301.682613996678,-39.1336063533581,-2564.884145,508.1400792271952,0.0,-0.0,0.0,0.0,0.0,0.0,1692.7755237728047,-0.0,-2200.915603,2582.5175476651457,838.8969521044993,-0.0,0.0,0.0,0.0,0.0,763.9103270315973,-66.80855780124223,-4118.516269,4739.2191680654105,943.7590711175617,-0.0,0.0,0.0,0.0,0.0,-4981.479757735093,-27.67495144788414,-673.82353,786.5125135675947,0.0,-0.0,0.0,0.0,0.0,0.0,598.863721432406,-0.0,-1385.376235,438.15720000000005,0.0,-0.0,0.0,0.0,0.0,0.0,7614.153305999999,-0.0,-8052.310506,1970.9530325780001,54.08700208721328,-2040.0,0.0,0.0,0.0,0.0,1198.032902469403,-38.76860113461661,-1144.304336,7637.612567354679,860.851193519673,-191.57312981551277,0.0,0.0,0.0,0.0,1956.2824174724803,-106.88143853132041,-10156.29161,5802.203199999999,1226.9229190258998,-0.0012108430744728338,0.0,0.0,0.0,0.0,-3985.282623825443,-59.77923935738164,-2984.063045,5133.260321660801,0.0,-2750.0,0.0,0.0,0.0,0.0,-555.573202621478,-8.33359803932217,-1819.353521
