Resource,Fuel,Zone,AnnualSumCosts
CNQ_COAL,QL_CO,1,0.0
GG_COAL,QL_CO,2,0.0
SQ_COAL,QL_CO,3,0.0
CNSW_COAL,NSW_CO,5,0.0
SNW_COAL,NSW_CO,6,0.0
VIC_COAL,VIC_CO,8,0.0
CNQ_CCGT,QL_GA,1,1.0386003775573815e8
GG_CCGT,QL_GA,2,7.20657888011595e7
SQ_CCGT,QL_GA,3,1.7603269025789022e8
NNSW_CCGT,NSW_GA,4,3.479835104576974e7
CNSW_CCGT,NSW_GA,5,2.3793851634030104e7
SNW_CCGT,NSW_GA,6,2.7082694325504416e8
SNSW_CCGT,NSW_GA,7,4.8424130944815904e7
VIC_CCGT,VIC_GA,8,2.842116810885145e8
SA_CCGT,SA_GA,9,8.554163097914587e7
TAS_CCGT,TAS_GA,10,6.943024425412251e7
CNQ_OCGT,QL_GA,1,2.1320067311406683e7
GG_OCGT,QL_GA,2,1.3216817471442182e7
SQ_OCGT,QL_GA,3,0.0
NNSW_OCGT,NSW_GA,4,0.0
CNSW_OCGT,NSW_GA,5,3.068928191213227e7
SNW_OCGT,NSW_GA,6,0.0
SNSW_OCGT,NSW_GA,7,0.0
VIC_OCGT,VIC_GA,8,1.509890456379064e7
SA_OCGT,SA_GA,9,1.3599391782193133e6
TAS_OCGT,TAS_GA,10,2.7918384969511027e6
CNQ_BIO,QL_BI,1,3.9933960150061065e-10
