BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,5.9947287950385295e7,1.1457712538090238e7,-1.5262694842297124e7,0.0,0.0,0.0,0.0,-2.8993954390441492e7,-400707.4269014312,-2.6747643828835443e7,9.906386597176902e6,637614.7947915193,-753331.332868814,0.0,0.0,0.0,0.0,9.321368798219416e6,0.0,-1.9112038857319012e7,3.6908622894595176e7,2.4484701960591003e7,-3.007170179178744e7,0.0,0.0,0.0,0.0,4.947015666735837e6,-745385.4861541846,-3.552325324398034e7,3.120449236249511e7,1.7536530579658434e7,-2.204952223433814e7,0.0,0.0,0.0,0.0,-2.1870714070421625e7,-344678.0592527526,-4.476108578140996e6,2.888901411618824e7,3.535499819561761e6,-4.902614024551445e6,0.0,0.0,0.0,0.0,-1.7403741630844463e7,0.0,-1.0118158280354016e7,8.828693948949562e6,4.981481423341235e6,-5.885529000776668e6,0.0,0.0,0.0,0.0,5.224944315113806e7,0.0,-6.017408952265217e7,1.5001029094810927e7,9.08448583930981e6,-1.2642453546076594e7,0.0,0.0,0.0,0.0,-3.8610562040212187e6,-315077.25295300275,-7.26692793106998e6,4.824935488230194e7,4.8552546536738835e6,-6.064001882615906e6,0.0,0.0,0.0,0.0,1.2803455196223313e7,-675771.9917262994,-5.9168290857856855e7,2.350896962331238e7,1.1442743482483994e7,-1.4084429010770306e7,0.0,0.0,0.0,0.0,-3.40978666140079e6,-124197.7554783636,-1.733329967814691e7,1.863722490181574e7,8.073260521526113e6,-1.1216226798736056e7,0.0,0.0,0.0,0.0,-3.782029855186967e6,-236496.9832949295,-1.1475731786123846e7
t1,7750.00922704172,0.0,-0.0,0.0,0.0,0.0,0.0,-4487.75926303125,-70.56955701046876,-3191.680407,2437.8095000000003,0.0,-0.0,0.0,0.0,0.0,0.0,-216.87787099999989,-0.0,-2220.931629,4219.272,0.0,-0.0,0.0,0.0,0.0,0.0,1787.5067103654553,-114.32651336545568,-5892.452197,3611.3184,0.0,-4297.704122655795,0.0,0.0,0.0,0.0,1655.1183270107824,-43.756956354986926,-924.975648,5664.936156432,1213.614350176513,-0.0,0.0,0.0,0.0,0.0,-5346.758955608512,-0.0,-1531.791551,1278.9808000000003,0.0,-1256.8208860000025,0.0,0.0,0.0,0.0,9157.221322000001,-0.0,-9179.381236,3652.073632578,685.2210650460283,-1494.6451088534106,0.0,0.0,0.0,0.0,-1378.994511395503,-17.541836375114592,-1446.113241,9239.264176645396,994.8058181897733,-732.2018525496368,0.0,0.0,0.0,0.0,1365.9586982452872,-66.22761053082024,-10801.59923,830.8964,3015.1560652988137,-981.9301048757488,0.0,0.0,0.0,0.0,355.1519102303919,-5.3272786534558785,-3213.946992,5625.152099999999,776.2817651594507,-1973.7182348405493,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1493.790768
t2,7671.34587304172,0.0,-0.0,0.0,0.0,0.0,0.0,-4379.039471031252,-70.56955701046876,-3221.736845,2544.269,0.0,-0.0,0.0,0.0,0.0,0.0,-325.5976629999995,-0.0,-2218.671337,3766.9049999999997,0.0,-0.0,0.0,0.0,0.0,0.0,2221.2200039615145,-107.8208139615148,-5880.30419,3286.6286,2868.1250544074146,-1429.5790682483807,0.0,0.0,0.0,0.0,-3809.9267192079883,-37.251256951046045,-877.99661,5818.344,0.0,-1213.614350176513,0.0,0.0,0.0,0.0,-3132.2794968234857,-0.0,-1472.450153,1179.5088,155.3139673999313,-1720.4379423999328,0.0,0.0,0.0,0.0,9157.221322000001,-0.0,-8771.606147,2632.3439999999996,646.8765156201797,-1508.839293685735,0.0,0.0,0.0,0.0,-385.3141148501771,-9.805742084270792,-1375.261365,9142.802372319095,794.0285441241373,-932.9791266152727,0.0,0.0,0.0,0.0,1875.6340348227404,-78.19396465070002,-10801.29186,972.835,2148.639084646722,-1848.4470855278405,0.0,0.0,0.0,0.0,1668.6484709452975,-25.02972706417946,-2916.645743,5314.3398216608,935.5779093290506,-1814.4220906709495,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1501.570778
t3,7749.209282041719,0.0,-0.0,0.0,0.0,0.0,0.0,-4428.508740031251,-70.56955701046876,-3250.130985,2494.4815,0.0,-0.0,0.0,0.0,0.0,0.0,-276.1283940000001,-0.0,-2218.353106,3668.67,0.0,-0.0,0.0,0.0,0.0,0.0,2362.165980316195,-105.70662431619459,-5925.129356,3283.4170000000004,743.5301984042468,-3554.1739242515487,0.0,0.0,0.0,0.0,374.14255215302705,-35.13706730572584,-811.778759,5489.160625728,0.0,-1213.614350176513,0.0,0.0,0.0,0.0,-2886.7537405514863,-0.0,-1388.792535,1195.6671999999999,736.9635393289777,-278.9264133600536,0.0,0.0,0.0,0.0,6543.073256031077,-0.0,-8196.777582,4546.0792651560005,286.8429386610001,-1869.5461738994395,0.0,0.0,0.0,0.0,-1687.9909139175613,-0.0,-1275.385116,9289.419365135178,1352.2512309897427,-374.7564397496672,0.0,0.0,0.0,0.0,641.0086055460562,-77.10186192130871,-10830.8209,1076.4081,1706.9039371615127,-2290.18223301305,0.0,0.0,0.0,0.0,2249.5577612705956,-33.74336641905894,-2708.944199,3984.674201869124,1599.7078712248888,-1150.2921287751112,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1500.165082
t4,7859.04479704172,0.0,-0.0,0.0,0.0,0.0,0.0,-4533.550020031252,-70.56955701046876,-3254.92522,2388.9285,0.0,-0.0,0.0,0.0,0.0,0.0,-171.0871140000001,-0.0,-2217.841386,2763.765,0.0,-0.0,0.0,0.0,0.0,0.0,3249.0229182472294,-92.40377024722906,-5920.384148,2677.7788000000005,2430.1731913156623,-1867.5309313401328,0.0,0.0,0.0,0.0,-2456.2894337387693,-21.834213236760316,-762.297413,5216.719999999999,1213.614350176513,-0.0,0.0,0.0,0.0,0.0,-5104.064206176513,-0.0,-1326.270144,1211.2351999999998,0.0,-1875.751909799864,0.0,0.0,0.0,0.0,8431.714864799866,-0.0,-7767.198155,2796.36,0.0,-2179.866173899439,0.0,0.0,0.0,0.0,584.2529908994392,-0.0,-1200.746817,9298.124929458694,1182.7499940060632,-544.257676733347,0.0,0.0,0.0,0.0,941.2964081508248,-72.59754488223719,-10805.31611,1064.1390999999999,1782.8942124443615,-2214.191957730201,0.0,0.0,0.0,0.0,1949.269958665827,-29.239049379987406,-2552.872264,4218.723206688754,1484.2627528150738,-1265.7372471849262,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1503.32385
t5,8516.674985053873,0.0,-483.4240230121544,0.0,0.0,0.0,0.0,-4711.762460031251,-70.56955701046876,-3250.918945,2211.3489999999997,0.0,-0.0,0.0,0.0,0.0,0.0,7.125326000000154,-0.0,-2218.474326,1461.186,0.0,-0.0,0.0,0.0,0.0,0.0,4545.422080808806,-72.95778280880542,-5933.650298,1767.5936000000002,601.06590088533,-3696.6382217704654,0.0,0.0,0.0,0.0,2085.0574006834718,-2.3882257983366744,-754.690454,4833.472000000001,1213.614350176513,-0.0,0.0,0.0,0.0,0.0,-4730.435080176512,-0.0,-1316.65127,1228.1904000000002,1875.751909799864,-0.0,0.0,0.0,0.0,0.0,4597.185410200136,-0.0,-7701.12772,4026.319609438622,995.5410650460284,-2040.0,0.0,0.0,0.0,0.0,-1792.5926774846505,-0.0,-1189.267997,9643.430047793192,439.8605770292132,-1287.147093710197,0.0,0.0,0.0,0.0,2063.9901575293507,-55.7571386415593,-10804.37655,896.668,2370.335061513285,-1626.7511086612774,0.0,0.0,0.0,0.0,826.5762092873015,-12.398643139309522,-2454.429519,5635.2071,775.6852936594507,-1974.3147063405493,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1502.652825
t6,8619.627839601635,0.0,-599.2343834521904,0.0,0.0,0.0,0.0,-4719.171183138977,-70.56955701046876,-3230.652716,2329.929,0.0,-123.43199310772559,0.0,0.0,0.0,0.0,14.53404910772539,-0.0,-2221.031056,1261.656,0.0,-0.0,0.0,0.0,0.0,0.0,4784.337164467005,-71.76505746700506,-5974.228107,1651.31,2850.026090740341,-1447.6780319154545,0.0,0.0,0.0,0.0,-2227.06899136835,-1.1955004565363125,-825.393567,4942.376156432,1213.614350176513,-0.0,0.0,0.0,0.0,0.0,-4750.019946608512,-0.0,-1405.97056,1144.9632000000001,1247.5092984838882,-628.2426113159758,0.0,0.0,0.0,0.0,6550.642013832087,-0.0,-8314.871901,2519.004,732.8482521685033,-2302.692812877525,0.0,0.0,0.0,0.0,346.74689370902115,-0.0,-1295.906333,9414.245050709013,390.31073429321447,-1336.6969364461957,0.0,0.0,0.0,0.0,2428.379273348244,-50.29130190427589,-10845.94682,880.3755,2579.9751140540907,-1417.1110561204719,0.0,0.0,0.0,0.0,462.18709346840757,-6.932806402026113,-2498.493845,5312.5316216608,938.9000523290508,-1811.0999476709492,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1506.406864
t7,9460.900592807273,0.0,-1208.7504589008117,0.0,0.0,0.0,0.0,-4941.729220895992,-70.56955701046876,-3239.851356,2108.2796966675432,0.0,-117.72493153228369,0.0,0.0,0.0,0.0,237.09208686474045,-0.0,-2227.646852,1007.9927719475137,0.0,-0.0,0.0,0.0,0.0,0.0,5265.414120865467,-78.98121181298201,-6194.425681,1580.7658,4297.693967424303,-0.010155231491458553,0.0,0.0,0.0,0.0,-4891.5341323902985,-8.411654802513253,-978.503825,4195.048156432,665.5078483983762,-548.1065017781367,0.0,0.0,0.0,0.0,-2712.8397800522403,-0.0,-1599.609723,1285.6512000000002,859.8550782358129,-1015.8968315640511,0.0,0.0,0.0,0.0,8515.633126328235,-0.0,-9645.242573,4413.9179208733785,810.3012609462824,-2225.239804099746,0.0,0.0,0.0,0.0,-1472.0362007199142,-0.0,-1526.943177,9373.187009228675,1098.788861675669,-628.218809063741,0.0,0.0,0.0,0.0,1367.8322060728044,-66.19950791340749,-11145.38976,674.0864000000001,2308.098415920936,-1688.987754253626,0.0,0.0,0.0,0.0,1522.7341607438475,-22.841012411157713,-2793.09021,4941.1778433215995,1140.4004424986506,-1609.5995575013496,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1538.053866
t8,8800.21436004172,0.0,-0.0,0.0,0.0,0.0,0.0,-5383.781675031251,-70.56955701046876,-3345.863128,1557.6855,0.0,-0.0,0.0,0.0,0.0,0.0,679.1445410000001,-0.0,-2236.830041,4299.1525890537705,0.0,-0.0,0.0,0.0,0.0,0.0,2481.8224157311993,-103.91177778496953,-6677.063227,5085.1588,0.0,-0.0,0.0,0.0,0.0,0.0,-4380.568949225501,-33.342220774500774,-671.24763,4136.248156432,509.0486896966796,-704.5656604798334,0.0,0.0,0.0,0.0,-2441.433276648847,-0.0,-1499.297909,1551.2942000000003,859.8550782358128,-1015.8968315640511,0.0,0.0,0.0,0.0,7335.970758328239,-0.0,-8731.223205,2920.428832578,429.8831478308415,-565.6579172151868,0.0,0.0,0.0,0.0,-1530.6899619763176,-48.59304221733716,-1205.371059,8475.760410504916,648.6106155023034,-1078.3970552371068,0.0,0.0,0.0,0.0,3880.5447533685333,-125.69490413864587,-11800.82382,428.87359999999995,2282.3170856615134,-1714.7690845130494,0.0,0.0,0.0,0.0,2249.5577612705956,-33.74336641905894,-3212.235996,4303.787045885369,1522.0497102167665,-1227.9502897832335,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1663.961604
