,Network_zones,ESR_1
CNQ,z1,0.925
GG,z2,0.925
SQ,z3,0.925
NNSW,z4,0.925
CNSW,z5,0.925
SNW,z6,0.925
SNSW,z7,0.925
VIC,z8,0.925
SA,z9,0.925
TAS,Z10,0.925
