Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
,,,,,,,40,1988.290041,1177.719159,3836.457665,375.61915,1159.760341,5930.617013,801.546837,5786.214449,1904.632689,1285.169939
,,,,,,,41,2199.905313,1188.186902,4559.969032,700.692566,1386.681282,7584.102457,1166.65129,7166.427536,2202.030387,1455.914669
,,,,,,,42,2333.895531,1195.123032,5025.229865,850.474949,1547.115701,8701.131863,1372.945226,8342.48133,2696.849984,1613.329499
,,,,,,,43,2321.233556,1194.381322,4979.261859,854.722093,1551.429542,8731.309509,1378.63444,8219.104116,2896.3059,1591.221401
,,,,,,,44,2286.258092,1192.446276,4854.873511,818.140284,1505.193313,8413.664485,1323.445832,7880.025943,2767.979338,1556.937121
,,,,,,,45,2237.630859,1189.755934,4681.960907,793.810017,1474.442153,8202.402099,1286.740446,7535.929077,2649.350565,1517.538183
,,,,,,,46,2182.972351,1186.731907,4487.657832,741.199587,1407.946505,7745.575638,1207.3701,7000.84221,2507.050108,1444.575208
,,,,,,,47,2104.063775,1182.366226,4207.218433,706.284305,1363.816066,7442.39898,1154.695328,6599.705501,2262.407349,1342.587751
,,,,,,,48,2095.427122,1181.888396,4177.137089,673.432927,1322.293839,7157.141891,1105.133996,6740.553566,2214.24065,1310.711038
,,,,,,,49,2075.429847,1180.78203,4104.180588,632.013501,1269.93837,6797.470623,1042.644139,6449.318609,2064.428367,1284.023767
,,,,,,,50,2045.201917,1179.109645,3996.870357,600.214794,1229.747645,6521.35828,994.671536,6054.055718,1850.674535,1278.880433
,,,,,,,51,2004.660264,1176.866644,3852.899538,540.723306,1154.55407,6004.778988,904.919644,5650.019167,1676.959468,1266.218148
,,,,,,,52,1983.016238,1175.669171,3776.082625,504.950755,1109.339433,5694.155683,850.951141,5443.615341,1589.487321,1269.384049
,,,,,,,53,2015.757833,1177.480627,3892.491317,511.075429,1117.079854,5747.334445,860.190647,5455.583672,1564.179151,1285.447619
,,,,,,,54,2156.574273,1185.275988,4392.903375,566.060596,1186.576974,6224.781129,943.143612,5858.137078,1627.284576,1357.307744
,,,,,,,55,2360.647326,1196.804315,5123.293222,677.924193,1331.799976,7220.492215,1114.518895,6909.705179,1858.031284,1529.293237
,,,,,,,56,2088.084902,1185.196339,4234.312569,562.088094,1322.027589,7083.132826,1032.847336,7614.454728,2181.975747,1720.609488
,,,,,,,57,1730.263271,1168.302011,3029.31246,340.632835,1209.486126,6223.957085,812.766189,7615.121922,2080.349506,1668.060995
,,,,,,,58,1416.361448,1152.90422,1959.031275,147.308686,1087.422441,5322.529982,604.415332,7225.362621,2032.852696,1634.165135
,,,,,,,59,1220.049718,1143.151856,1286.780404,30.688045,1003.332455,4713.242962,471.591324,7009.840007,1889.342521,1553.368505
,,,,,,,60,1134.872575,1138.587226,985.864666,0,910.17182,4291.347061,389.133439,7118.467437,1799.040753,1521.174418
,,,,,,,61,1140.239157,1138.579814,998.058669,0,944.193666,4334.664365,411.439395,7204.758976,1598.455338,1506.654218
,,,,,,,62,1242.546435,1143.505991,1346.417447,29.928508,956.063869,4411.359281,438.912795,7480.639145,1448.943758,1497.359389
,,,,,,,63,1439.822202,1152.825468,2011.021391,152.110401,1022.052173,4910.153291,562.991152,7460.977777,1449.554449,1492.686107
,,,,,,,64,1769.682316,1168.520771,3124.551065,370.804621,1155.457378,5900.14638,795.497782,7329.444321,1325.248099,1532.858806
,,,,,,,65,2271.942734,1192.988779,4833.05387,707.644066,1392.544947,7625.895543,1175.147858,7901.683067,1794.758515,1596.174645
,,,,,,,66,2600.990566,1209.958255,5973.906204,861.149017,1560.219666,8791.364102,1388.785002,8599.516901,2377.961132,1709.397748
,,,,,,,67,2642.010187,1212.128554,6117.385034,864.113306,1563.295449,8812.838985,1392.800015,8373.355629,2611.422909,1688.903414
