Period_Index,Rep_Period,Rep_Period_Index
1,49,10
2,2,1
3,52,11
4,52,11
5,49,10
6,2,1
7,7,2
8,49,10
9,7,2
10,7,2
11,7,2
12,7,2
13,7,2
14,7,2
15,28,4
16,40,8
17,7,2
18,28,4
19,20,3
20,20,3
21,28,4
22,20,3
23,20,3
24,28,4
25,28,4
26,28,4
27,28,4
28,28,4
29,29,5
30,28,4
31,28,4
32,40,8
33,33,6
34,28,4
35,28,4
36,38,7
37,38,7
38,38,7
39,38,7
40,40,8
41,40,8
42,40,8
43,40,8
44,40,8
45,40,8
46,52,11
47,47,9
48,52,11
49,49,10
50,52,11
51,49,10
52,52,11
