BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,4.2752904162707865e7,781069.6610624897,-1.0578726193110535e6,0.0,0.0,0.0,0.0,-2.012591860733649e7,-247796.49229084174,-2.210238610483202e7,2.6100270244497536e6,23872.152635743114,-28204.54212330492,0.0,0.0,0.0,0.0,1.2269727301763365e7,0.0,-1.4875421936725566e7,2.9590728141397048e7,5.606555965984837e6,-7.524440892385101e6,0.0,0.0,0.0,0.0,5.686055296576885e6,-442434.5605310566,-3.2916463951042637e7,1.834629042312473e7,1.5089301389446794e6,-2.0909962690784845e6,0.0,0.0,0.0,0.0,-1.3593192824171968e7,-194638.0682402125,-3.976393400578738e6,3.7615682175640926e7,2.1383673735036454e6,-2.963150051165517e6,0.0,0.0,0.0,0.0,-2.6940112020391382e7,0.0,-9.850787477587715e6,1.0795415570385085e7,859248.5717068815,-1.0151876417826059e6,0.0,0.0,0.0,0.0,4.57718522128611e7,0.0,-5.641132871317033e7,1.786492320264176e7,8.44054210194834e6,-1.1661264637842102e7,0.0,0.0,0.0,0.0,-7.585224193555574e6,-178874.70577901034,-6.880101767413333e6,4.352158834364506e7,1.148852651280687e6,-1.3573491988737138e6,0.0,0.0,0.0,0.0,1.4376565812176133e7,-577187.0554898896,-5.711247055273829e7,2.188478350692924e7,3.4925676001624963e6,-4.621934269595992e6,0.0,0.0,0.0,0.0,-3.735565198220408e6,-118699.14920635117,-1.690115249006905e7,2.120223026260111e7,7.192615526028898e6,-9.986785225269118e6,0.0,0.0,0.0,0.0,-6.124187779701786e6,-279613.2005045262,-1.2004259583154637e7
t1,8352.489543273703,0.0,-302.0,0.0,0.0,0.0,0.0,-5527.308225944735,-59.99136532896787,-2463.189952,184.33282551774812,0.0,-10.645544197958355,0.0,0.0,0.0,0.0,1527.8838706802103,-0.0,-1701.571152,4040.324215827721,0.0,-2267.191917618025,0.0,0.0,0.0,0.0,3094.168887141123,-73.57019735081889,-4793.730988,3131.3789415415094,0.0,-0.0,0.0,0.0,0.0,0.0,-2302.665970519658,-13.578832021851024,-815.134139,5647.632,0.0,-0.0,0.0,0.0,0.0,0.0,-4243.021238999999,-0.0,-1404.610761,1278.9808000000003,0.0,-447.5937289317326,0.0,0.0,0.0,0.0,7354.744883931732,-0.0,-8186.131955000001,2807.775,0.0,-1369.1504178203286,0.0,0.0,0.0,0.0,-150.21516578719329,-3.696194392477801,-1284.713222,7034.735948726875,496.18265167257164,-84.21734832742838,0.0,0.0,0.0,0.0,1232.0010647462461,-75.62936381826147,-8603.072953,558.7838275109478,356.56803984366036,-0.0,0.0,0.0,0.0,0.0,1904.978261568926,-28.574673923533886,-2791.755455,4675.232989762973,1284.176449277964,-1465.823550722036,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1559.661026
t2,8188.753141825723,43.34824090097057,-258.65175909902945,0.0,0.0,0.0,0.0,-5515.641555298696,-59.99136532896787,-2397.816703,192.38266716378595,0.0,-10.645544197958355,0.0,0.0,0.0,0.0,1516.217200034172,-0.0,-1697.954323,3607.1430071876193,0.0,-558.8884768982863,0.0,0.0,0.0,0.0,1607.869072284337,-95.86469457367069,-4560.258908,2849.839988273549,0.0,-0.0,0.0,0.0,0.0,0.0,-2050.5573210288453,-35.873329244702816,-763.409338,5852.952312863999,0.0,-0.0,0.0,0.0,0.0,0.0,-4513.706097864,-0.0,-1339.246215,1179.5088,0.0,-81.23196504999234,0.0,0.0,0.0,0.0,6638.767779049993,-0.0,-7737.044614,2869.8940367964815,0.0,-2725.2210650460283,0.0,0.0,0.0,0.0,1080.560638514179,-18.547354264632915,-1206.686256,6505.316250743438,50.76036619519542,-529.6396338048046,0.0,0.0,0.0,0.0,2222.078389556587,-90.48052369041658,-8158.034849,693.401235001391,0.0,-9.087569646782923,0.0,0.0,0.0,0.0,1904.978261568926,-28.574673923533886,-2560.717253,4692.548571531762,1272.93554889357,-1477.06445110643,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1554.494807
t3,8223.734403428936,0.0,-302.0,0.0,0.0,0.0,0.0,-5508.857811099969,-59.99136532896787,-2352.885227,188.6180290530292,4.031255654742672,-6.614288543215681,0.0,0.0,0.0,0.0,1509.433455835444,-0.0,-1695.468452,3513.074350475789,0.0,-1657.7661928224034,0.0,0.0,0.0,0.0,2625.560073896108,-80.59932954949412,-4400.268902,2847.055205683165,0.0,-0.0,0.0,0.0,0.0,0.0,-2123.9088544626384,-20.60796422052625,-702.538387,5467.944,0.0,-842.6476067501617,0.0,0.0,0.0,0.0,-3362.974325249838,-0.0,-1262.322068,1195.6671999999999,0.0,-0.0,0.0,0.0,0.0,0.0,6012.874163,-0.0,-7208.541363,3701.780632578,0.0,-2725.2210650460283,0.0,0.0,0.0,0.0,148.78800683669112,-10.48627936866303,-1114.861295,6506.331830747945,251.22973827728723,-329.1702617227128,0.0,0.0,0.0,0.0,1684.673396491928,-82.4194487944467,-8030.645254999999,800.3007960522975,0.0,-271.27282969768964,0.0,0.0,0.0,0.0,1904.978261568926,-28.574673923533886,-2405.431554,4643.445461193521,1299.3097205626902,-1450.6902794373098,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1558.14004
t4,8089.41961653292,52.0,-250.0,0.0,0.0,0.0,0.0,-5503.974748203954,-59.99136532896787,-2327.453503,180.63673160879705,9.759920324866505,-0.8856238730918474,0.0,0.0,0.0,0.0,1504.550392939428,-0.0,-1694.061421,2646.5481856484007,0.0,-186.81660615426725,0.0,0.0,0.0,0.0,1941.4307538559622,-90.86126935009631,-4310.301064,2321.9055247043,0.0,-577.7673158916557,0.0,0.0,0.0,0.0,-1047.9872847915158,-30.869904021128438,-665.28102,5220.632469296,0.0,-842.6476067501617,0.0,0.0,0.0,0.0,-3162.749563545838,-0.0,-1215.235299,1211.2351999999998,0.0,-0.0,0.0,0.0,0.0,0.0,5673.808992,-0.0,-6885.044192,3640.658632578,0.0,-2725.2210650460283,0.0,0.0,0.0,0.0,149.89342101893305,-6.675420550904745,-1058.655568,6725.276500842536,266.0574220797227,-314.34257792027734,0.0,0.0,0.0,0.0,1430.616141974709,-78.60858997668842,-8028.998897000001,743.2370728772437,0.0,-347.35474452263577,0.0,0.0,0.0,0.0,1904.978261568926,-28.57467392353389,-2272.285916,4654.312235720908,1291.5310177989973,-1458.4689822010027,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1553.449409
t5,8262.183130202018,0.0,-302.0,0.0,0.0,0.0,0.0,-5538.799780873051,-59.99136532896787,-2361.391984,167.20921358943212,0.0,-10.645544197958355,0.0,0.0,0.0,0.0,1539.375425608526,-0.0,-1695.939095,1399.2141724042547,0.0,-0.0,0.0,0.0,0.0,0.0,3106.750182515942,-73.38147792019662,-4432.582877,1532.6827388699778,0.0,-0.0,0.0,0.0,0.0,0.0,-855.5156852787486,-13.390112591228748,-663.776941,4820.080312864,0.0,-0.0,0.0,0.0,0.0,0.0,-3606.7515318640003,-0.0,-1213.328781,1228.1904000000002,0.0,-0.0,0.0,0.0,0.0,0.0,5643.770705000001,-0.0,-6871.961105,3428.828632578,0.0,-2040.0,0.0,0.0,0.0,0.0,-331.8010052262362,-0.6445753517635198,-1056.383052,7150.500020252806,266.0574220797227,-314.34257792027734,0.0,0.0,0.0,0.0,1028.5597953652941,-72.5777447775472,-8058.1969149999995,570.112723515512,0.0,-187.75493016090437,0.0,0.0,0.0,0.0,1904.978261568926,-28.57467392353389,-2258.761381,4673.264550398263,1286.069820960319,-1463.930179039681,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1561.47933
t6,8468.28700154936,19.691404159333484,-282.30859584066656,0.0,0.0,0.0,0.0,-5662.089554539061,-59.99136532896787,-2483.58889,29.388996527505373,10.645544197958355,-0.0,0.0,0.0,0.0,0.0,1662.6651992745365,-0.0,-1702.69974,1208.1466397151778,0.0,-0.0,0.0,0.0,0.0,0.0,3725.8881132440956,-64.0944089592743,-4869.940344,1431.853076138872,0.0,-0.0,0.0,0.0,0.0,0.0,-707.8610875085653,-4.103043630306432,-719.888945,4925.072,0.0,-0.0,0.0,0.0,0.0,0.0,-3640.8392230000004,-0.0,-1284.232777,1144.9632000000001,0.0,-0.0,0.0,0.0,0.0,0.0,6214.156582,-0.0,-7359.119782,3363.3026325779997,0.0,-153.3279676643597,0.0,0.0,0.0,0.0,-2061.899733355375,-7.049695558265547,-1141.025236,6789.170797692508,266.0574220797227,-314.34257792027734,0.0,0.0,0.0,0.0,1455.5678091320958,-78.98286498404921,-8117.4705859999995,549.1742439817417,0.0,-151.83713262713417,0.0,0.0,0.0,0.0,1904.978261568926,-28.574673923533886,-2273.740699,4696.871569879496,1286.7230497197024,-1463.2769502802976,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1586.392807
t7,8597.283311724128,0.0,-302.0,0.0,0.0,0.0,0.0,-5563.81736439516,-59.99136532896787,-2671.474582,159.6921090673221,0.0,-10.645544197958355,0.0,0.0,0.0,0.0,1564.3930091306358,-0.0,-1713.439574,960.0002558189703,1386.9422252319841,-0.0,0.0,0.0,0.0,0.0,3275.7244114354485,-70.84686448640402,-5551.820028,1370.6841073966275,0.0,-0.0,0.0,0.0,0.0,0.0,-515.0031812391913,-10.855499157436142,-844.825427,4225.744,0.0,-0.0,0.0,0.0,0.0,0.0,-2781.9790560000006,-0.0,-1443.764944,1285.6512000000002,447.5937289317326,-0.0,0.0,0.0,0.0,0.0,6720.682181068268,-0.0,-8453.92711,4030.438054,0.0,-0.0,0.0,0.0,0.0,0.0,-2700.0,-0.0,-1330.438054,7335.704758178056,580.4,-0.0,0.0,0.0,0.0,0.0,985.588105247726,-71.93316942578367,-8829.759694,379.46301956514714,182.30771878946075,-0.0,0.0,0.0,0.0,0.0,1904.978261568926,-28.57467392353389,-2438.174326,4700.523198582491,1347.411308368205,-1402.588691631795,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1711.420953
t8,7940.086163745266,64.86751318027407,-237.13248681972593,0.0,0.0,0.0,0.0,-5519.3516837768475,-59.99136532896787,-2188.478141,161.7395302897187,10.645544197958355,-0.0,0.0,0.0,0.0,0.0,1519.927328512323,-0.0,-1692.312403,2276.3127510536933,0.0,-0.0,0.0,0.0,0.0,0.0,1813.757519807135,-92.77636786082871,-3997.293903,2407.681603274542,0.0,-490.81590522487346,0.0,0.0,0.0,0.0,-1247.9857105178075,-32.78500253186085,-636.094985,4013.368194894533,0.0,-0.6739832735795521,0.0,0.0,0.0,0.0,-2628.902068620955,-0.0,-1383.792143,1222.6432000000002,-0.0008951856674387582,-0.0,0.0,0.0,0.0,0.0,6663.715485185668,-0.0,-7886.35779,3668.3710543282295,0.0,-189.7355475441888,0.0,0.0,0.0,0.0,-2320.4564678255006,-25.789433958539785,-1132.389605,7021.94587533871,338.87376078095633,-241.5262392190437,0.0,0.0,0.0,0.0,2704.8837024837117,-97.72260338432345,-9726.454496,164.5905980463868,641.5616623082204,-0.0,0.0,0.0,0.0,0.0,1904.978261568926,-28.57467392353389,-2682.555848,4654.749299931204,1441.242580193849,-1308.757419806151,0.0,0.0,0.0,0.0,-2890.566366816652,-43.35849550224978,-1853.309598
