Resource,Zone,AnnualSum,Capacity,CapacityFactor
CNQ_RS,1,447896.70641268103,163.4,0.31291163406373707
GG_RS,2,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0
NNSW_RS,4,0.0,0.0,0.0
CNSW_RS,5,71746.44235260655,48.0,0.1706298571932261
SNW_RS,6,0.0,0.0,0.0
SNSW_RS,7,3.508155053499601e6,2342.0,0.1709967212535269
VIC_RS,8,889297.9487525354,2292.23,0.044287890255129206
SA_RS,9,0.0,0.0,0.0
TAS_RS,10,6.733899250874619e6,2294.2,0.3350666725418521
CNQ_COAL,1,0.0,0.0,0.0
GG_COAL,2,0.0,0.0,0.0
SQ_COAL,3,0.0,0.0,0.0
CNSW_COAL,5,0.0,0.0,0.0
SNW_COAL,6,0.0,0.0,0.0
VIC_COAL,8,0.0,0.0,0.0
CNQ_CCGT,1,2.733992805640929e6,1131.5708657746798,0.27581094988114413
GG_CCGT,2,1.6816867630438078e6,598.742276634075,0.32062772626630337
SQ_CCGT,3,3.0752023638014183e6,1100.0,0.319136816500775
NNSW_CCGT,4,508355.8980367638,200.07214611765448,0.29005284511493745
CNSW_CCGT,5,1.3064638527345743e6,779.1879772370078,0.1914040174812833
SNW_CCGT,6,6.920372360137884e6,3966.099657545856,0.1991873409589122
SNSW_CCGT,7,1.1576985907872256e6,570.8918194578036,0.23149284833517825
VIC_CCGT,8,6.307950223584175e6,3100.2981721340057,0.23226335080732707
SA_CCGT,9,1.9192227891424177e6,1079.2619318878956,0.20299924700198194
TAS_CCGT,10,1.2345394378691048e6,616.6143405957296,0.22855316572421122
CNQ_OCGT,1,3347.6415991606736,212.885764918063,0.001795098266110871
GG_OCGT,2,97512.9510810367,10410.688518616154,0.0010692487245492505
SQ_OCGT,3,831488.564768352,4615.350183303328,0.020565890379422073
NNSW_OCGT,4,34657.29041210519,1184.1779569599607,0.0033409773147917345
CNSW_OCGT,5,12.032967032967036,12.0,0.00011446886446886635
SNW_OCGT,6,1648.5915766959633,1270.0,0.0001481853428878573
SNSW_OCGT,7,54911.35852407118,727.9190702985883,0.008611424234658403
VIC_OCGT,8,494910.7284525269,4214.611449528866,0.01340495065220386
SA_OCGT,9,201152.13788425352,2106.2942553574812,0.010901882659286991
TAS_OCGT,10,403549.26207904716,2875.5504219403633,0.01602033023282454
CNQ_BIO,1,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,3.5140997269504103e6,1329.9098177034894,0.3016392025432291
CNQ_SQ3_SOLAR,1,2.2601418845306006e6,916.1614677,0.28161745886547357
CNQ_SQ4_SOLAR,1,996577.145961907,423.0383483,0.2689224625530597
GG_SQ6_SOLAR,2,283801.12719011947,113.8374463,0.2845934268699798
SQ_SQ7_SOLAR,3,982062.691903356,427.9138106,0.2619864338423354
SQ_SQ8_SOLAR,3,5.372994267122661e6,2315.6920816189086,0.26486920036308115
NNSW_SN1_SOLAR,4,1.12460714604436e6,500.0,0.25675962238456124
NNSW_SN2_SOLAR,4,1.376794585168474e6,710.3859735,0.22124357392064878
CNSW_SN3_SOLAR,5,1.6181133120680453e7,6567.081085214077,0.28127585013456335
SNSW_SN5_SOLAR,7,2.9368880047269952e6,1389.47513,0.24128620981811214
SNW_SN9_SOLAR,6,0.0,0.0,0.0
VIC_SV2_SOLAR,8,1.089007945250278e7,5083.410976738466,0.24455228202885756
VIC_SV6_SOLAR,8,630608.3833903358,400.59,0.17970308389598688
SA_SS3_SOLAR,9,0.0,0.0,0.0
SA_SS7_SOLAR,9,1.396394036093046e6,700.0,0.22772244554681484
SA_SS5_SOLAR,9,4.742464471047276e6,2973.0654207275747,0.18209394887442926
TAS_ST2_SOLAR,10,0.0,0.0,0.0
CNQ_WQ1_WIND,1,4.781433384467794e6,1400.0,0.3898755205860952
CNQ_WQ2_WIND,1,1.5133245425958391e7,6000.0,0.28792323869784314
CNQ_WQ4_WIND,1,7.383988548416922e6,3800.0,0.22182133346602503
CNQ_WQ3_WIND,1,5.4981808927691495e6,2985.0860308411416,0.21026068064741799
GG_WQ6_WIND,2,547026.183134803,264.6494278212134,0.23595709928738373
SQ_WQ8_WIND,3,1.932898025380128e7,8618.291957107644,0.2560257422427063
NNSW_WN2_WIND,4,1.5301875503463011e7,6416.549747429406,0.27223188626168077
CNSW_WN3_WIND,5,2.0056326726906274e7,8000.0,0.2861918768108818
SNW_WN9_WIND,6,3.873394618670551e6,1600.0,0.27635520966542626
SNSW_WACT_WIND,7,1.0207270195103906e7,3000.0,0.3884044975305963
VIC_WV3_WIND,8,6.978918133282573e6,2600.0,0.3064154431543153
VIC_WV4_WIND,8,1.1584162776745323e7,4322.201743480156,0.30595356013605274
VIC_WV5_WIND,8,5.745660696934798e6,2000.0,0.32794866991637506
VIC_WV7_WIND,8,0.0,0.0,0.0
SA_WS1_WIND,9,844205.0699375848,392.2932876,0.24565916578201083
SA_WS3_WIND,9,1.144360642408954e7,4600.0,0.2839886446319666
SA_WS4_WIND,9,1.337738578735181e6,566.3837214,0.26962265624405457
TAS_WT1_WIND,10,570049.1625066382,168.0,0.387345864934393
TAS_WT2_WIND,10,2.0046724088133844e6,538.3749592676598,0.4250641274176796
TAS_WT3_WIND,10,1.0255520740458325e7,2300.0,0.5090093677019303
CNQ_BATTERY,1,119768.1455819285,52.0,0.0
GG_BATTERY,2,23872.152635743114,10.645544197958355,0.0
SQ_BATTERY,3,1.1976142774888226e6,553.4403904045456,0.0
NNSW_BATTERY,4,0.0,0.0,0.0
CNSW_BATTERY,5,0.0,0.0,0.0
SNW_BATTERY,6,859248.5717068815,447.5937289317326,0.0
SNSW_BATTERY,7,585900.2391218733,310.32,0.0
VIC_BATTERY,8,1.1488526512806872e6,580.4,0.0
SA_BATTERY,9,1.065731699367354e6,512.43,0.0
TAS_BATTERY,10,0.0,0.0,0.0
CNQ_PH,1,0.0,0.0,0.0
GG_PH,2,0.0,0.0,0.0
SQ_PH,3,4.408941688496037e6,1713.7515272134794,0.0
NNSW_PH,4,1.5089301389446794e6,577.7673158916557,0.0
CNSW_PH,5,2.138367373503647e6,842.6476067501617,0.0
SNW_PH,6,0.0,0.0,0.0
SNSW_PH,7,1.7885349622924158e6,685.2210650460283,0.0
VIC_PH,8,0.0,0.0,0.0
SA_PH,9,2.426835900795144e6,900.0,0.0
TAS_PH,10,0.0,0.0,0.0
CNQ_PH_NEW,1,661301.51548056,250.0,0.0
SNSW_PH_SNOWY,7,6.066106900534051e6,2040.0,0.0
TAS_PH_NEW,10,7.192615526028898e6,2750.0,0.0
