Line,1,2,3,4,5,6,7,8,9,10,Total
AnnualSum,0.0,495592.9845816835,389276.136480425,0.0,0.0,0.0,357749.4115580207,237398.29841270234,559226.4010090524,0.0,2.0392432320418837e6
t1,0.0,119.98273065793575,27.15766404370205,0.0,0.0,0.0,7.392388784955602,57.14934784706777,86.71699100449956,0.0,298.39912233816074
t2,0.0,119.98273065793575,71.74665848940563,0.0,0.0,0.0,37.09470852926583,57.14934784706777,86.71699100449956,0.0,372.69043652817453
t3,0.0,119.98273065793575,41.2159284410525,0.0,0.0,0.0,20.97255873732606,57.14934784706777,86.71699100449956,0.0,326.03755668788165
t4,0.0,119.98273065793575,61.739808042256875,0.0,0.0,0.0,13.35084110180949,57.14934784706778,86.71699100449956,0.0,338.93971865356946
t5,0.0,119.98273065793575,26.780225182457496,0.0,0.0,0.0,1.2891507035270395,57.14934784706778,86.71699100449956,0.0,291.91844539548765
t6,0.0,119.98273065793575,8.206087260612865,0.0,0.0,0.0,14.099391116531095,57.14934784706777,86.71699100449956,0.0,286.15454788664704
t7,0.0,119.98273065793575,21.710998314872285,0.0,0.0,0.0,0.0,57.14934784706778,86.71699100449956,0.0,285.5600678243754
t8,0.0,119.98273065793575,65.5700050637217,0.0,0.0,0.0,51.57886791707957,57.14934784706778,86.71699100449956,0.0,380.99794249030435
t9,0.0,119.98273065793575,71.74665848940563,0.0,0.0,0.0,48.386124082566674,57.14934784706777,86.71699100449956,0.0,383.9818520814754
t10,0.0,94.4106078533524,71.74665848940563,0.0,0.0,0.0,54.815350014922615,57.14934784706777,12.818169947898413,0.0,290.9401341526468
t11,0.0,0.0,23.175374437269802,0.0,0.0,0.0,65.57990078632942,42.5792847366567,46.01394143966707,0.0,177.348501399923
t12,0.0,15.620648940394146,38.21252493170186,0.0,0.0,0.0,65.57990078632942,31.758337878699862,29.080682607282487,0.0,180.25209514440775
t13,0.0,0.0,0.0,0.0,0.0,0.0,65.57990078632942,57.14934784706777,40.35531342037134,0.0,163.08456205376854
t14,0.0,0.0,25.511254288863423,0.0,0.0,0.0,65.57990078632942,48.992313920299544,2.903044401114983,0.0,142.98651339660736
t15,0.0,2.2246351528261448,0.0,0.0,0.0,0.0,65.57990078632942,39.21876589750924,0.0,0.0,107.0233018366648
t16,0.0,44.505231905269625,16.89739290070308,0.0,0.0,0.0,60.83082429345616,36.50703482654143,16.735195712831217,0.0,175.47567963880152
t17,0.0,32.385584094094355,4.6472072888593665,0.0,0.0,0.0,65.57990078632942,38.05602157476442,86.71699100449956,0.0,227.3857047485471
t18,0.0,46.21853164310271,24.714226748478044,0.0,0.0,0.0,65.57990078632942,10.606335543657455,86.71699100449956,0.0,233.83598572606718
t19,0.0,24.944258652511238,0.0,0.0,0.0,0.0,65.57990078632942,25.990116602255164,86.71699100449956,0.0,203.2312670455954
t20,0.0,25.856284360051287,0.0,0.0,0.0,0.0,65.57990078632942,57.14934784706777,86.71699100449956,0.0,235.30252399794804
t21,0.0,2.825395883087015,0.0,0.0,0.0,0.0,65.57990078632942,34.53660571861732,86.71699100449956,0.0,189.65889339253332
t22,0.0,0.0,20.03756953755812,0.0,0.0,0.0,65.57990078632942,29.92979214199016,86.71699100449956,0.0,202.26425347037727
t23,0.0,40.06748994973323,65.27236465122586,0.0,0.0,0.0,65.57990078632942,55.78855859447002,86.71699100449956,0.0,313.4253049862581
t24,0.0,53.431736253083784,71.74665848940563,0.0,0.0,0.0,65.57990078632942,37.24319331368347,86.71699100449956,0.0,314.71847984700184
t25,0.0,74.20147640586,71.74665848940563,0.0,0.0,0.0,65.57990078632942,38.139061418699306,86.71699100449956,0.0,336.38408810479393
t26,0.0,92.90377908818756,71.74665848940563,0.0,0.0,0.0,65.57990078632942,45.76334941319831,86.71699100449956,0.0,362.7106787816205
t27,0.0,100.4871987266188,71.74665848940563,0.0,0.0,0.0,56.97173261643089,57.14934784706778,86.71699100449956,0.0,373.0719286840227
t28,0.0,119.98273065793575,71.74665848940563,0.0,0.0,0.0,49.19473960762486,53.81790209483925,86.71699100449956,0.0,381.45902185430504
t29,0.0,119.98273065793575,71.74665848940563,0.0,0.0,0.0,40.4709905334698,40.9342014597939,86.71699100449956,0.0,359.8515721451046
t30,0.0,119.98273065793575,71.74665848940563,0.0,0.0,0.0,11.02995009836711,9.17224650428055,86.71699100449956,0.0,298.64857675448854
t31,0.0,116.25274433168619,71.74665848940563,0.0,0.0,0.0,20.831500869257777,7.44012652815886,86.71699100449956,0.0,302.988021223008
t32,0.0,96.77359255962065,71.74665848940563,0.0,0.0,0.0,55.25665317789032,33.30792333333999,86.71699100449956,0.0,343.80181856475616
t33,0.0,82.9065003970397,52.72330984556598,0.0,0.0,0.0,13.680740742900154,37.29511599696242,86.71699100449956,0.0,273.32265798696784
t34,0.0,92.67408931824157,71.74665848940563,0.0,0.0,0.0,15.688567790388154,29.837793482839967,34.57694153267326,0.0,244.5240506135486
t35,0.0,13.95234661863426,38.46633764874237,0.0,0.0,0.0,0.0,40.986880690569784,86.71699100449956,0.0,180.12255596244597
t36,0.0,0.0,71.74665848940562,0.0,0.0,0.0,65.57990078632942,57.14934784706777,48.17634273559277,0.0,242.65224985839558
t37,0.0,58.07285079005252,69.17796183449268,0.0,0.0,0.0,11.384425595340597,54.467343555216736,48.959016276345594,0.0,242.06159805144813
t38,0.0,4.000881052257025,0.0,0.0,0.0,0.0,0.0,57.14934784706777,51.6898317391751,0.0,112.84006063849989
t39,0.0,7.726579622082583,0.0,0.0,0.0,0.0,39.69886481160487,54.403682571197876,50.627497073480626,0.0,152.45662407836596
t40,0.0,18.554726887275674,29.953502093714533,0.0,0.0,0.0,1.3709895797601532,57.14934784706777,49.246337545009816,0.0,156.27490395282797
t41,0.0,11.091204397462564,27.29328966889266,0.0,0.0,0.0,57.56675034150474,23.186130785173585,86.71699100449956,0.0,205.85436619753312
t42,0.0,7.395324869634763,3.0440472141036077,0.0,0.0,0.0,54.48884074879467,34.41645994328768,86.71699100449956,0.0,186.06166378032026
t43,0.0,26.50416173847213,11.265658780252704,0.0,0.0,0.0,65.57990078632942,33.629351807112194,86.71699100449956,0.0,223.696064116666
t44,0.0,16.280400245706563,12.769672174489022,0.0,0.0,0.0,65.57990078632942,48.366405276101816,86.71699100449956,0.0,229.71336948712639
t45,0.0,25.0937698778797,14.517561524823389,0.0,0.0,0.0,65.57990078632942,35.786367716543126,86.71699100449956,0.0,227.6945909100752
t46,0.0,50.15298346415017,19.778450585655676,0.0,0.0,0.0,65.57990078632942,28.848067070279,86.71699100449956,0.0,251.07639291091382
t47,0.0,42.300943745549404,2.6150970183828752,0.0,0.0,0.0,65.57990078632942,28.758587914564156,86.71699100449956,0.0,225.9715204693254
t48,0.0,38.16279686472335,36.109794764431065,0.0,0.0,0.0,65.57990078632942,37.157422621793984,86.71699100449956,0.0,263.7269060417774
t49,0.0,21.68908531347074,6.822277268820898,0.0,0.0,0.0,65.57990078632942,36.65620535640083,86.71699100449956,0.0,217.46445972952145
t50,0.0,4.027337210270663,0.0,0.0,0.0,0.0,65.57990078632942,38.684155107544065,86.71699100449956,0.0,195.0083841086437
t51,0.0,16.09065881379886,9.199528673260199,0.0,0.0,0.0,65.57990078632942,14.83254822420927,86.71699100449956,0.0,192.4196275020973
t52,0.0,32.31535492470366,12.618981020315502,0.0,0.0,0.0,65.57990078632942,18.09308169699009,86.71699100449956,0.0,215.32430943283822
t53,0.0,28.942944259739004,8.389936045300017,0.0,0.0,0.0,65.57990078632942,43.87845694014822,86.71699100449956,0.0,233.50822903601622
t54,0.0,49.466224168064194,14.064794299648058,0.0,0.0,0.0,65.57990078632942,45.977419845814396,86.71699100449956,0.0,261.8053301043556
t55,0.0,45.003324313262745,19.432496391318185,0.0,0.0,0.0,65.57990078632942,12.422450668088679,86.71699100449956,0.0,229.1551631634986
t56,0.0,45.622523854948845,33.828420068525006,0.0,0.0,0.0,65.57990078632942,15.215877924263626,86.71699100449956,0.0,246.96371363856645
t57,0.0,32.64409977341264,39.56943362121789,0.0,0.0,0.0,65.57990078632942,19.075420383880218,86.71699100449956,0.0,243.5858455693397
t58,0.0,55.44189057590677,0.0,0.0,0.0,0.0,65.57990078632942,16.605551373689277,86.71699100449956,0.0,224.34433374042501
t59,0.0,119.98273065793575,58.61545156074559,0.0,0.0,0.0,65.57990078632942,0.0,16.603836443525413,0.0,260.7819194485362
t60,0.0,119.98273065793575,32.272045885837066,0.0,0.0,0.0,65.57990078632942,16.23555650045016,51.58664405916407,0.0,285.6568778897165
t61,0.0,119.98273065793575,15.08015666771278,0.0,0.0,0.0,65.57990078632942,48.600234794772746,63.5342739587008,0.0,312.7772968654515
t62,0.0,16.591836716793033,51.57739576174981,0.0,0.0,0.0,65.57990078632942,41.33371041655569,59.393778533947305,0.0,234.47662221537527
t63,0.0,83.30964646853836,0.0,0.0,0.0,0.0,65.57990078632942,57.14934784706777,63.86007980426865,0.0,269.8989749062042
t64,0.0,55.21414987012862,71.74665848940563,0.0,0.0,0.0,65.57990078632942,47.610791638138096,74.76501024510955,0.0,314.91651102911135
t65,0.0,22.030088197331093,37.198790830298414,0.0,0.0,0.0,27.025302139467154,3.0120294354841057,86.71699100449956,0.0,175.98320160708033
t66,0.0,4.037980073653151,0.0,0.0,0.0,0.0,65.57990078632942,20.25719006796694,86.71699100449956,0.0,176.59206193244907
t67,0.0,14.171246360292635,0.0,0.0,0.0,0.0,65.57990078632942,27.839938801590232,86.71699100449956,0.0,194.30807695271187
t68,0.0,0.0,0.0,0.0,0.0,0.0,20.631479078044322,15.51076220171131,86.71699100449956,0.0,122.8592322842552
t69,0.0,0.9396737926846059,0.0,0.0,0.0,0.0,28.26989043122389,17.37299864519605,86.71699100449956,0.0,133.2995538736041
t70,0.0,0.1673986904546065,0.0,0.0,0.0,0.0,26.173878037059293,31.02153099078552,86.71699100449956,0.0,144.07979872279898
t71,0.0,2.493859747508194,0.0,0.0,0.0,0.0,14.359405004926103,21.067816296553087,86.71699100449956,0.0,124.63807205348695
t72,0.0,19.963996865293684,0.0,0.0,0.0,0.0,44.92327054358408,49.972440971233866,86.71699100449956,0.0,201.57669938461117
t73,0.0,39.58461818997654,0.0,0.0,0.0,0.0,42.66690579063674,56.63482162541919,86.71699100449956,0.0,225.60333661053204
t74,0.0,51.8065224422168,11.964640651838593,0.0,0.0,0.0,57.97404449954056,57.14934784706777,86.71699100449956,0.0,265.6115464451633
t75,0.0,43.110061232142876,0.0,0.0,0.0,0.0,65.57990078632942,45.900170584275585,86.71699100449956,0.0,241.30712360724743
t76,0.0,43.65613932697832,0.0,0.0,0.0,0.0,65.57990078632942,32.239928545755674,86.71699100449956,0.0,228.192959663563
t77,0.0,44.05856102547038,0.0,0.0,0.0,0.0,65.57990078632942,15.674086875696828,86.71699100449956,0.0,212.0295396919962
t78,0.0,45.025262603595245,2.4105635454222982,0.0,0.0,0.0,65.57990078632942,14.69393084773718,86.71699100449956,0.0,214.4266487875837
t79,0.0,53.346840694351336,10.610970475812593,0.0,0.0,0.0,65.57990078632942,36.75037880277968,86.71699100449956,0.0,253.00508176377258
