Line,New_Trans_Capacity,Cost_Trans_Capacity
1,569.2234281371448,2.3174117717020366e8
2,1899.4243552645246,1.4101705746935637e9
3,1191.5552829801877,2.1341682555188262e9
4,2530.0919390426193,1.2551922361170235e9
5,0.0,0.0
6,2157.137234704947,3.3294096857484937e8
7,982.9532411410684,1.4856000223497722e9
8,1250.871079841713,5.619073429738635e8
9,1865.6958354061026,5.219947533256438e9
10,0.0,0.0
