Line,New_Trans_Capacity,Cost_Trans_Capacity
1,718.7530505314874,1.9686540371059698e8
2,4843.713347994478,2.4292930531339707e9
3,3039.32575118741,3.7424446105475674e9
4,3543.9142466115495,1.1796166381163805e9
5,0.0,0.0
6,980.4534481928723,1.0303775561154142e8
7,541.796999877976,5.495171838138223e8
8,1443.0864577579907,4.402057761885969e8
9,3200.679263939931,6.149842151190793e9
10,0.0,0.0
